0,1,2,3,4,5,6
,GMT,,,,,
,06:00-06:10,,,,,
,,,,,,
,06:00-06:10,,,,,
,,,,,,
,06:00-06:05,,,,,
,06:05-06:10,,,,,
,06:10-06:40,,,,,
,,,,,,
,06:40-07:30,,,,,
,,,,,,
,06:40-07:20,,,,,
,07:20-07:30,,,,,
,07:30-08:00,,,,,
,08:00-08:15,,,,,
,,,,,,
,08:00-08:20,,,,,
,,,,,,
,08:00-08:10,,,,,
,08:10-08:20,,,,,
,08:20-08:45,,,,,
,08:45-09:25,,,,,
,08:45-10:15,,,,,
,08:45-09:30,,,,,
,08:45-08:55,,,,,
,08:45-09:10,,,,,
,08:55-09:15,,,,,
,09:10-09:40,,,,,
,09:25-10:05,,,,,
,09:40-10:40,,,,,
,09:30-09:45,,,,,
,09:45-09:55,,,,,
,09:55-10:00,,,,,
,09:45-11:15,,,,,
Time,,Crew,Activity,,,
06:00-06:10,CDR,,Station inspection.  Testing of SM Caution and Warning Panel (ПСС),,,
06:00-06:10,"FE-2,FE-3",,Station inspection,,,
06:00-06:10,FE-4,,SONOCARD. End of experiment,,,
06:00-06:05,"FE-5,FE-6",,Reaction self-test,,,
06:05-06:10,"FE-5,FE-6",,Station inspection,,,
06:10-06:40,"FE-3,FE-5,FE-6",,Post-sleep,,,
06:10-06:30,FE-2,,Post-sleep,,,
06:10-06:20,FE-4,,Station inspection,,,
06:10-06:20,CDR,,,,,
,,,"""Hematocrit"". Determination of hematocrit number",,,
06:20-06:30,FE-4,,,,,
06:20-06:50,CDR,,Post-sleep,,,
06:30-07:00,FE-4,,Post-sleep,,,
06:30-06:40,FE-2,,"""Hematocrit"". Determination of hematocrit number",,,
06:40-07:30,"FE-3,FE-5,FE-6",,Breakfast,,,
06:40-06:45,FE-2,,"""Hematocrit"", Stowing HW",,,
06:45-07:40,FE-2,,Breakfast,,,
06:50-07:40,CDR,,Breakfast,,,
07:00-07:40,FE-4,,Breakfast,,,
07:30-07:40,"FE-3,FE-6",,Work prep,,,
07:30-07:40,FE-5,,Glovebox (MSG) - preparation,,,
07:40-08:00,,,DPC (S-band),,,
08:00-08:15,,,Weekly ISS crew-FCT tagup (S-band),,,
,"FE-2,FE-4,",,,,,
08:15-08:30,,,Work prep,,,
,"FE-3,FE-5",,,,,
08:20-09:20,FE-6,,PE T2,,,
08:30-08:50,CDR,,Work prep,,,
08:30-10:00,FE-5,,BASS-teardown and hw stowage,,,
08:30-08:40,FE-2,,KASKAD. Manual mixing in bioreactor,,,
08:30-08:45,FE-4,,SONOCARD. Copying data to Laptop RSE-MED and downlink via ОСА,,,
08:30-08:40,FE-3,,HMS-food questionnaire,,,
08:40-08:50,FE-3,,CWC Audit,,,
08:45-11:45,FE-4,,"TIPOLOGIA. BI-4 experiment run. Tagup with specialists. (S-band,УКВ)",,,
08:15-08:30,CDR,,ТЛФ-tagup about IMS records  (S-band),,,
08:50-09:20,FE-3,,BCATC1 – photographing equipment prep,,,
09:00-10:15,CDR,,PE ARED,,,
09:15-09:30,FE-2-помощь,,TIPOLOGIA. Assistance for experiment run,,,
