0,1,2,3,4,5,6,7
TIME,CREW,,ACTIVITY,,,,
06:00-06:10,CDR,Hematocrit. Test,,,,,
06:00-06:05,"FE-5, FE-6",Reading REMINDER,,,,,
06:00-06:15,FE-2,KHROMATOMASS. Experiment Setup,,,,,
06:00-06:10,FE-4,"Morning Inspection.  RSS1, RSS2 Reboot",,,,,
06:00-06:10,FE-3,Morning Inspection,,,,,
06:05-06:10,FE-6,Morning Inspection,,,,,
06:05-06:20,FE-5,Morning Inspection,,,,,
06:10-06:20,FE-4,Hematocrit. Test,,,,,
06:10-06:40,"FE-3, FE-6",Post-sleep,,,,,
,,Morning Inspection.,,,,,
06:10-06:20,CDR,Laptop RS2(1) Reboot,,,,,
,,SM ПСС (Caution & Warning Panel) Test,,,,,
06:15-06:45,FE-2,KHROMATOMASS. Saliva and Blood Collection,,,,,
06:20-06:50,"CDR, FE-4",Post-sleep,,,,,
06:20-06:30,FE-5,Hematocrit. Test,,,,,
06:30-07:00,FE-5,Post-sleep,,,,,
06:40-07:30,"FE-3, FE-6",BREAKFAST,,,,,
06:45-06:55,FE-2,Hematocrit. Test,,,,,
06:50-07:30,"CDR, FE-4",BREAKFAST,,,,,
06:55-07:00,FE-2,Hematocrit. Hardware Stow,,,,,
07:00-07:20,FE-2,Post-sleep,,,,,
07:00-07:40,FE-5,BREAKFAST,,,,,
07:30-07:40,"CDR, FE-3, FE-4, FE-6",Work Prep,,,,,
07:40-08:05,,Daily Planning Conference (S-band),,,,,
08:05-08:15,"FE-3, FE-6",Work Prep,,,,,
08:05-08:10,FE-5,BIOME - Questionnaire Data Entry,,,,,
08:05-08:20,CDR,ИП-1 Flow Sensor Position Check,,,,,
08:05-08:25,FE-2,BREAKFAST,,,,,
08:10-08:20,FE-5,Work Prep,,,,,
08:15-08:20,FE-6,BIOME - Questionnaire Data Entry,,,,,
08:15-08:25,FE-4,PAO hardware setup,,,,,
08:15-08:45,FE-3,ROBONAUT - Procedure Review,,,,,
08:20-08:30,FE-5,ON MCC GO ATV - ISS Pressurization with Oxygen (start),,,,,
08:25-08:35,"CDR, FE-2, FE-4",Crew Prep for PAO,,,,,
08:25-08:35,FE-6,CIR - Hardware Teardown,,,,,
08:30-09:50,FE-5,ARED Exercise,,,,,
TIME,CREW,,,ACTIVITY,,,
06:00-06:10,CDR,Morning Inspection.  Laptop RS2(1) Reboot,,,,,
06:00-06:10,"FE-2, FE-3, FE-5",Morning Inspection,,,,,
06:00-06:10,FE-4,Morning Inspection.  RSS2 Reboot,,,,,
06:00-06:05,FE-6,PROK - Urine Sample Collection,,,,,
06:05-06:10,FE-6,Morning Inspection,,,,,
06:10-06:40,,Post-sleep,,,,,
,"CDR, FE-2,",,,,,,
06:40-07:30,"FE-3, FE-5,",BREAKFAST,,,,,
,FE-6,,,,,,
06:40-07:30,FE-4,BREAKFAST.  SM ПСС (Caution & Warning Panel) Test (after breakfast),,,,,
07:30-10:30,"FE-3, FE-5, FE-6",Weekly Housekeeping,,,,,
07:30-07:40,FE-2,CASKAD. Manual Mixing in Bioreactor,,,,,
,,Weekly Housekeeping,,,,,
,,"SM Ventilation Subsystem Preventive Maintenance, Group E",,,,,
07:30-10:30,CDR,FGB ЦВ2 Fan Cleaning,,,,,
,,Inspection of Air Conditioner,,,,,
,,Inspection and Cleaning of Auxiliary Computer System [ВКС] Laptops,,,,,
07:30-09:00,FE-4,Weekly Housekeeping.,,,,,
07:40-08:50,FE-2,Cleaning Auxiliary Computer System (ВКС) Laptops,,,,,
08:50-10:00,FE-2,ARED Exercise,,,,,
10:00-11:50,FE-2,Weekly Housekeeping.  Cleaning Auxiliary Computer System (ВКС) Laptops,,,,,
10:00-11:30,FE-4,ARED Exercise,,,,,
10:30-10:35,FE-3,CGBA - Status Check and Monitor Cleaning,,,,,
10:30-11:30,FE-6,T2 Exercise,,,,,
11:30-13:00,FE-6,ARED Exercise,,,,,
,,Weekly Housekeeping,,,,,
11:30-13:00,FE-4,Cleaning Potok-150 MK Air Purification System Pre-filters (after,,,,,
,,12:00),,,,,
11:55-13:25,CDR,БД-2 Exercise - Day 1,,,,,
13:25-13:40,"CDR, FE-2, FE-4",Weekly Planning Conference (S-band),,,,,
13:55-14:55,,LUNCH,,,,,
14:55-15:43,"CDR, FE-2, FE-4",Video Greetings on the 84th Anniversary of Shchyolkovo District,,,,,
14:55-15:00,FE-6,PROK - Controlled Diet Log,,,,,
15:40-15:55,FE-3,Private Family Conference,,,,,
TIME,,CREW,,,ACTIVITY,,
06:00-06:10,CDR,,Morning Inspection.  Laptop RS2(1) Reboot,,,,
06:00-06:10,FE-4,,"Morning Inspection.  RSS1, RSS2  Reboot",,,,
06:00-06:10,"FE-2,FE-3, FE-5,FE-6",,Morning Inspection,,,,
06:10-06:40,.,,Post-sleep,,,,
,"CDR,FE-3,",,,,,,
06:40-07:30,"FE-4,FE-5,",,BREAKFAST,,,,
,FE-6,,,,,,
,,,BREAKFAST.,,,,
06:40-07:30,FE-2,,,,,,
,,,SM ПСС (Caution & Warning Panel) Test (after breakfast),,,,
