0,1,2
GMT,CREW,ACTIVITY
06:00-06:10,"CDR,FE-2",Morning inspection
06:00-06:05,FE-1,PLASMA CRYSTAL-3 PLUS. Turbo-pump activation
06:05-06:10,Morning inspection,
06:10-06:40,.,Post-sleep
06:40-07:30,.,BREAKFAST
07:30-10:30,FE-1,"Weekly Housekeeping Cleaning ВПхО, ФС5, ФС6, ФС9 (ВДПрК), ВПрК, В3DC1, FGB ЦВ2 Fan"
07:30-09:55,FE-2,Weekly Housekeeping
07:30-07:45,CDR,HRF - Replacing Laptop 2 Adaptor
07:45-07:55,HRF - А31Р power up,
07:55-10:45,Weekly Housekeeping,
09:55-10:00,FE-2,MPC Activation for HDTV Playback Ops
10:00-12:00,SPHERES - session,
10:30-12:00,FE-1,"Physical Exercise (TVIS), Day 1"
10:45-12:15,CDR,Physical Exercise (RED)
12:00-13:00,FE-2,Physical Exercise (CEVIS)
12:15-13:00,CDR,HRF1 - load prep
12:30-12:50,FE-1,Tagup with the Korolev City Election Committee (VHF)
13:00-14:00,.,LUNCH
14:05-14:50,.,STS 122/1E and ISS16 Crew Conference (Ku + S-band)
14:50-15:05,CDR,Private psychological conference (Ku + S-band)
15:05-15:20,FE-2,Private psychological conference (Ku + S-band)
15:20-15:55,EPO (PL) demonstration - procedure review,
15:20-15:55,CDR,HRF1 - load prep
15:20-15:35,FE-1,PAO hardware setup
15:35-16:00,"Equipment set up and TV PAO with the RF Central Election Committee(То=15:20,Т1,Т2,Т3- from СПП)",
15:40-15:55,FE-2,Educational Payload Ops (EPO): camcorder set up
15:55-16:20,EPO  - Living Area Demonstration,
16:00-17:00,FE-1,"Physical Exercise (VELO+RED), Day 1"
16:00-16:30,CDR,CGBA5 ops
16:20-16:30,FE-2,ЕРО Hardware Stow
16:45-18:15,Physical Exercise (RED),
16:45-16:55,CDR,Terminate BSA battery charge
16:55-17:55,Physical Exercise (TVIS),
17:35-18:10,FE-1,Evening work prep
17:55-18:05,CDR,HRF1 - RIC Hardware Stow
18:05-18:10,МРС Deactivation,
18:10-18:50,FE-1,СОЖ maintenance
18:15-18:50,"CDR,FE-2",Evening work prep
GMT,CREW,ACTIVITY
06:00-06:10,"CDR,FE-2",Morning Inspection
06:00-06:05,FE-1,PLASMA CRYSTAL-3 PLUS. Turbo-pump activation
06:05-06:10,Morning Inspection,
06:10-06:40,.,Post-sleep
06:40-07:30,.,BREAKFAST
07:30-08:00,.,Prep for Work
08:00-08:05,CDR,CDRA deactivation
