0,1,2,3,4
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning inspection,,
06:10-06:40,,Post-sleep,,
06:40-07:30,,BREAKFAST,,
07:30-08:00,,Prep for Work,,
08:00-08:15,,Daily Planning Conference (S-band),,
08:15-08:30,"CDR, FE-2",LOCAD-PTS Procedure Review,,
08:15-08:30,FE-1,Private Physical Training Conference (S-band),,
08:30-08:40,"CDR, FE-2",LOCD. Science Conference (S-band),,
08:40-11:40,"CDR, FE-1",TORU Training. Tagup with specialists (S-band),,
08:40-09:00,FE-2,LOCAD - Setting up experimental equipment,,
09:00-09:10,LOCD - swab ops with video,,,
09:10-09:15,BCAT-3. Camera checkout,,,
09:30-09:35,LOCAD - Phase 2 Data Record Operations,,,
09:55-10:05,CSLM2 - Close Vacuum Vent 2,,,
10:05-11:05,Physical Exercise (CEVIS),,,
11:05-11:15,CSLM2 - Open Vacuum Vent 3,,,
11:15-12:45,Physical Exercise (RED),,,
11:40-13:10,FE-1,"Physical Exercise (TVIS), Day 3",,
11:40-12:40,CDR,Physical Exercise (CEVIS),,
12:40-13:10,Psychological Evaluation Program (WinSCAT),,,
12:45-13:15,FE-2,СОЖ maintenance,,
13:10-13:15,CDR,Payload status check,,
13:10-13:15,FE-1,On MCC Go ISS O2 repress from Progress 361 СрПК (start),,
13:15-14:15,,LUNCH,,
14:15-14:20,FE-1,ISS O2 repress from Progress 361 СрПК (terminate),,
14:20-15:20,"CDR, FE-1",Install Progress 361 Docking Mechanism,,
14:25-14:35,FE-2,LOCD - swab ops with video,,
14:35-15:05,Psychological Evaluation Program (WinSCAT),,,
15:05-15:10,LOCD - Phase 2 Data Record Operations,,,
15:10-15:20,LOCD - swab ops with video,,,
15:20-16:20,FE-1,Dismantle УС-21 11Ф615.Б1824-А59-0 Container from Progress 361 /On MCC Go Demate 525/40 Telemetry Cable Connectors (after БИТС2-12power off),,
15:20-15:50,"CDR, FE-2",EMU water refill,,
15:50-16:00,CDR,Nutrition - setting up hardware for drawing blood,,
15:50-15:55,FE-2,LOCD - Phase 2 Data Record Operations,,
15:55-16:05,LOCD - swab ops with video,,,
16:00-17:30,CDR,Physical Exercise (RED),,
16:25-17:25,FE-1,"Physical Exercise (VELO), Day 3",,
16:25-16:30,FE-2,LOCD - Phase 2 Data Record Operations,,
16:30-16:40,LOCD - swab ops with video,,,
16:40-16:50,Terminate EMU Metox Regeneration,,,
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning Inspection,,
06:10-06:40,,Post-sleep,,
06:40-07:30,,BREAKFAST,,
07:30-08:00,"CDR, FE-2",Prep for Work,,
07:35-07:50,FE-1,Post-EVA Pille dosimeter reading,,
07:50-08:15,Prep for Work,,,
08:05-08:10,FE-2,CDRA [Carbon Dioxide Removal Assembly] activation support,,
08:05-08:15,CDR,MSG: activation,,
08:15-08:30,FE-1,ИК0501Gas Analyzer O2 Reading Adjustment. Tagup with specialists (S-band),,
08:20-08:25,FE-2,Disconnect Display and Control Panel (DCP) power cable,,
08:30-08:40,CDR,CSLM2 - Open Vacuum Vent 1,,
08:30-08:55,FE-1,"KUBIK1. Installation, preparation, and copying data",,
08:40-08:50,FE-2,PCS power down,,
08:50-09:05,BCAT-3 – camera recofig,,,
08:55-09:55,CDR,Physical Exercise (CEVIS),,
08:55-09:55,FE-1,Removal of Local Temperature Sensor Switching Unit ЛКТ (ТА251МБ) andROM from Progress 361,,
09:05-09:20,FE-2,BCAT-3. Specimen 6 initialize,,
09:55-11:25,CDR,Physical Exercise (RED),,
09:55-10:55,FE-2,Physical Exercise (CEVIS),,
09:55-10:00,FE-1,KUBIK1. Reconnect Data Cable,,
10:00-11:00,Progress M-361 Loading and IMS Updates,,,
10:55-12:25,FE-2,Physical Exercise (RED),,
11:00-11:10,FE-1,KUBIK1. Final data copy ops and thermostat deactivation,,
11:10-11:20,"KUBIK2. Installation, preparation, and copying data",,,
11:20-12:20,FE-1,Progress M-361 Loading and IMS Updates,,
11:25-12:25,CDR,,,
12:20-12:25,FE-1,KUBIK2. Reconnect Data Cable,,
12:25-13:25,,Crew EVA Debrief (Ku + S-band),,
13:25-13:35,FE-1,KUBIK2. Data copy closeout ops and thermostat deactivation,,
13:35-13:40,On MCC Go ISS O2 repress from Progress 361 СрПК (start),,,
13:40-14:40,.,LUNCH,,
