0,1,2,3,4
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning inspection,,
06:10-06:40,,Post-sleep,,
06:40-07:30,,BREAKFAST,,
07:30-10:30,,Weekly housekeeping,,
10:30-10:35,CDR,Demate Display and Control Panel (DCP) power supply,,
10:45-12:15,Physical Exercise (RED),,,
11:30-13:00,FE-1,Physical Exercise (TVIS) day 1,,
12:55-13:00,CDR,Calldown ТЕРС display data,,
13:00-14:00,,LUNCH,,
14:00-14:30,,Weekly planning conference (S-band),,
14:40-15:00,,ISS crew / Program management weekly conference (S-band),,
15:00-15:30,FE-1,СОЖ maintenance,,
15:00-15:15,CDR,Reboot all PCS (once a week),,
15:15-15:20,Reboot SSC OCA router,,,
15:30-16:20,Transfer of LEMS (Low Extremity Monitoring System) kit: FOOT experiment: Footground forces during space flight,,,
17:15-18:15,FE-1,Physical Exercise (VELO + Force Loader/cycle 1) day 1,,
17:15-18:15,CDR,Physical Exercise (CEVIS),,
18:15-18:20,CDR,TVIS/RED/HRM data transfer to MEC,,
19:30-20:00,,DINNER,,
20:00-20:30,,Daily food prep,,
20:30-21:30,,Pre-sleep,,
21:30-06:00,,SLEEP,,
Task List,FE-1,MOLNIYA-SM. Data copying to HDD,,
MOLNIYA-SM. LSO hardware disassembly,,,,
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning inspection,,
06:10-06:40,,Post-sleep,,
06:40-07:30,,BREAKFAST,,
07:30-07:55,,Prep for work,,
07:55-08:10,,Daily planning conference (S-band),,
08:10-09:10,CDR,SSC reconfig to PCS,,
08:10-08:15,FE-1,On MCC GO ISS Pressurization w/O2 from Progress 351 Tanks (start),,
08:15-09:05,FE-1,"Replacement of filter cartridge ПФ1, ПФ2 and cleaning of В1, В2 fan screen inDC1 (ФГБ1ПГО_3_307_1 white bag 351-10.  Discard removed unit)",,
09:05-09:10,FE-1,ISS Pressurization w/O2 from Progress 351 Tanks (terminate),,
09:10-10:10,FE-1,ЛКТ (ТА251МБ) and ПЗУ (ROM) removal in Progress,,
09:10-10:40,CDR,Physical Exercise (RED),,
10:15-10:40,FE-1,Roller replacement in Force Loader [НС-1],,
10:40-11:40,FE-1,Physical Exercise (VELO + FL-1) day 4,,
10:40-11:40,CDR,Physical Exercise (TVIS),,
11:40-12:40,,LUNCH,,
12:40-12:50,CDR,SSC file server cleanup,,
12:40-13:00,FE-1,"Progress activation, air duct removal",,
12:50-16:20,CDR,EMU: pump impeller installation,,
13:00-13:15,FE-1,"Removal and inspection of QD screw clamps, v/imagery of СМ(АО)-ТКГ interfacebefore ПрК-СУ hatch closure (using DVCAM)",,
13:15-13:35,FE-1,Progress-SM (ТКГ/СМ) hatch closure,,
13:35-14:35,FE-1,СМ (АО)-ТКГ hatch leak check,,
14:50-15:05,FE-1,IMS tagup (S-band),,
15:05-15:15,FE-1,СМ(АО)-ТКГ interface TV downlink before ПрК-СУ hatch closure (Ku-band),,
15:15-15:45,FE-1,EDV (KOV) filling (except # 776: installed in the system) for Elektron from SMRodnik water tank БВ2,,
15:45-16:15,FE-1,СОЖ maintenance. Use water from SM Rodnik БВ1 tank when needed to fillEDV-ZV.,,
16:15-17:45,FE-1,Physical Exercise (TVIS) day 4,,
16:20-16:30,CDR,VTR 1 head cleaning,,
16:30-18:00,CDR,SSRMS motion control from the ground with crew monitoring,,
17:45-18:05,FE-1,IMS file prep,,
18:00-18:05,CDR,TVIS/RED/HRM data transfer to MEC,,
18:05-18:25,CDR,Daily plan review,,
,FE-1,Obtaining Vozdukh Log files on Laptop1,,
18:25-18:35,FE-1,Daily plan review,,
18:25-18:35,CDR,SSC file server ghost image,,
18:35-18:50,,Daily planning conference (S-band),,
18:50-19:10,,Astronaut office (Kent Rominger- CB) - Crew conference (S-band),,
19:10-19:40,,DINNER,,
19:40-19:50,,Daily food prep,,
19:50-20:10,,FD / ISS crew conference (S-band),,
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning inspection,,
06:10-06:40,CDR,Post-sleep,,
06:15-06:45,FE -1,,,
06:40-07:30,CDR,BREAKFAST,,
06:50-07:20,FE -1,,,
07:20-07:35,FE -1,Regeneration of БМП Ф2 cartridge (start),,
07:30-07:35,CDR,Disconnect jumper from LTL.,,
07:35-07:50,,Daily planning conference (S-band),,
07:50-08:15,CDR,Prep for work,,
