0,1,2,3,4,5,6
GMT,,CREW,ACTIVITY,,,
06:00-06:10,,"CDR,FE-1,FE-2,FE-5,FE-6",Morning Inspection,,,
06:00-06:05,,FE-4,Elektron-VM Aerosol Filter Inspection,,,
06:05-06:10,,Morning Inspection,,,,
06:10-06:40,,.,Post-sleep,,,
06:40-07:30,,.,BREAKFAST,,,
08:30-09:30,,FE-6,Physical Exercise (CEVIS),,,
09:00-10:30,,FE-4,"Physical Exercise (TVIS), Day 4",,,
09:30-11:00,,FE-6,Physical Exercise (ARED),,,
10:15-11:45,,FE-2,"Physical Exercise (TVIS), Day 3",,,
10:30-11:30,,FE-4,"Physical Exercise (VELO), Day 4",,,
10:30-11:30,,CDR,Physical Exercise T 2,,,
11:25-12:55,,FE-1,"Physical Exercise (TVIS), Day 3",,,
11:30-13:00,,CDR,Physical Exercise (ARED),,,
12:00-13:00,,FE-5,Physical Exercise (CEVIS),,,
12:55-13:00,,FE-1,On MCC Go ISS О2 repress from Progress 407 СрПК (start),,,
13:00-14:00,,.,LUNCH,,,
14:00-14:05,,FE-1,ISS О2 repress from Progress 407 СрПК (terminate),,,
14:00-14:05,,CDR,"Waste & Hygiene Compartment (WHC) EDV-U (902, 936, 966) Transfer toRS",,,
14:05-17:05,,FE-1,Pumping Urine from EDV-U’s to Progress 407 Rodnik Water Tank 2,,,
14:50-15:05,,FE-2,Private Family Conference (Ku+S-band),,,
15:30-16:30,,"Physical Exercise (VELO), Day 3",,,,
15:40-17:10,,FE-5,Physical Exercise (ARED),,,
16:25-16:40,,CDR,Private Family Conference,,,
17:05-18:05,,FE-1,"Physical Exercise (VELO), Day 3",,,
18:00-18:40,,FE-2,"СОЖ Maintenance. SM and FGB СП (Flush Counter), СВО (WaterSupply System), Potok Air Purification Unit Data Calldowns",,,
18:05-18:20,,FE-5,SLAMMD Stowage,,,
18:20-18:35,,HRF1 SLAMMD Setup and Connection,,,,
18:25-18:50,,FE-6,Evening Work Prep,,,
18:35-18:40,,CDR,Waste & Hygiene Compartment (WHC) EDV-U Retrieval,,,
18:35-18:40,,FE-4,Elektron-VM Aerosol Filter Inspection,,,
18:35-18:40,,FE-5,Daily Diet Monitoring,,,
18:40-18:50,,"CDR,FE-1,FE-2,FE-4,FE-5",Evening Work Prep,,,
18:50-19:15,,.,Daily Planning Conference (S-band),,,
19:15-19:30,,"CDR,FE-1,FE-2,FE-4,FE-5",Evening Work Prep,,,
GMT,,CREW,,ACTIVITY,,
06:00-06:10,,"CDR, FE-1,FE-2, FE-5,FE-6",,Morning Inspection,,
06:00-06:05,,FE-4,,Elektron-VM Aerosol Filter Inspection,,
06:05-06:10,,FE-4,,Morning Inspection,,
06:10-06:40,,,,Post-sleep,,
06:40-07:30,,,,BREAKFAST,,
07:30-07:40,,FE-2,,Terminate 825М3 Battery Pack 2 charging,,
07:30-07:35,,FE-6,,Power Tool Battery Reconditioning,,
07:30-10:30,,"CDR, FE-5",,Weekly Housekeeping,,
07:30-09:00,,FE-4,,"Weekly HousekeepingPreventive Maintenance of SM Ventilation System Group ECleaning FGB ЦВ2 Fan / FGB System Ops, 4.3.2, step 2, p. 4-7",,
07:35-08:00,,FE-6,,Weekly Housekeeping,,
08:00-08:05,,FE-6,,Power Tool Battery Reconditioning,,
08:05-09:00,,FE-6,,Weekly Housekeeping,,
08:25-08:30,,FE-1,,Deactivation of Multifunction Indicator Panel (МПИ),,
08:30-10:30,,FE-1,,Replacement of Terminal Computing Device [ТВУ],,
09:00-10:30,,FE-4,,"Physical Exercise (TVIS), Day 3",,
09:00-09:05,,FE-6,,Power Tool Battery Reconditioning,,
09:00-10:00,,FE-2,,Physical Exercise (ARED),,
09:05-09:30,,FE-6,,Weekly Housekeeping,,
09:30-09:35,,FE-6,,Power Tool Battery Reconditioning,,
09:35-10:30,,FE-6,,Weekly Housekeeping,,
10:00-12:40,,FE-2,,Weekly HousekeepingPreventive Maintenance of SM Ventilation System Group ECleaning FGB ЦВ2 Fan,,
10:45-10:50,,FE-1,,Activation Of МПИ Multifunctional Panel,,
12:40-12:50,,FE-2,,Cleaning SM and FGB Potok Air Purification System Pre-filters while Potok isDeactivated,,
10:50-11:50,,FE-1,,"Physical Exercise (VELO), Day 2",,
10:30-11:30,,CDR,,Physical Exercise T 2,,
10:30-11:30,,FE-4,,Physical Exercise (ARED),,
10:30-10:35,,FE-6,,Power Tool Battery Reconditioning,,
10:35-10:55,,FE-6,,Weekly Housekeeping,,
10:50-11:05,,FE-5,,3D Space Setup,,
11:00-11:05,,FE-6,,Power Tool Battery Reconditioning,,
11:05-11:35,,FE-5,,3D SPACE Experiment,,
11:30-13:00,,FE-4,,Weekly HousekeepingPreventive Maintenance of SM Ventilation System Group ECleaning FGB ЦВ2 Fan,,
11:30-11:35,,FE-6,,Adjustment of video camera assembly 1,,
GMT,CREW,ACTIVITY,,,,
06:00-06:05,"CDR,FE-1,FE-6",Morning Inspection,,,,
,FE-4,Elektron-VM Aerosol Filter Inspection,,,,
06:00-06:10,FE-2,МО-8. Setup,,,,
06:00-06:20,FE-5,SOLO 24-hour Urine Collection,,,,
06:05-06:10,"FE-1,FE-4",Post-sleep,,,,
06:05-06:20,CDR,,,,,
06:05-06:25,FE-6,,,,,
06:10-06:20,"FE-1,FE-2,FE-4",Calf Volume Measurement,,,,
06:20-06:35,FE-4,Post-sleep,,,,
,FE-1,Biochemical Urine Test,,,,
