0,1,2,3,4,5,6,7
TIME,CREW,ACTIVITY,,,,,
06:00-06:05,CDR,Morning Inspection. Laptop RS2(1) Reboot,,,,,
06:00-06:10,FE-2,Morning Inspection. SM ПСС (Caution & Warning Panel) Test,,,,,
06:00-06:10,FE-4,"Morning Inspection. RSS1,2 Reboot",,,,,
06:00-06:10,FE-5,HRF Saliva Sample Collection,,,,,
06:00-06:05,FE-3,REMINDER-BP REG - Reading Reminder,,,,,
06:00-06:05,FE-6,Circadian Rhythms Experiment Constraints Reminder,,,,,
06:05-06:10,FE-3,Reading REMINDER,,,,,
06:05-06:20,CDR,Biochemical Urine Test,,,,,
06:05-06:15,FE-6,Morning inspection,,,,,
06:10-06:15,FE-5,HRF - Urine Sample Insertion Into MELFI,,,,,
06:10-06:20,FE-4,Post-sleep,,,,,
06:10-06:20,FE-3,Morning inspection,,,,,
06:10-06:50,FE-2,Post-sleep,,,,,
06:15-06:35,FE-6,Post-sleep,,,,,
06:15-06:20,FE-5,Reading REMINDER,,,,,
06:20-06:30,FE-5,Morning inspection,,,,,
06:20-06:50,FE-3,Post-sleep,,,,,
06:20-07:30,CDR,SPLANH. Experiment Ops. Tagup with specialists,,,,,
06:20-06:35,FE-4,Biochemical Urine Test,,,,,
06:30-06:55,FE-5,Post-sleep,,,,,
06:35-06:50,FE-6,Biochemical Urine Test,,,,,
06:35-06:55,FE-4,Post-sleep,,,,,
06:50-07:30,"FE-3,FE-6",BREAKFAST,,,,,
06:50-07:05,FE-2,Biochemical Urine Test,,,,,
06:55-07:30,"FE-4,FE-5",BREAKFAST,,,,,
07:05-07:15,FE-2,URYSIS Hardware Stow,,,,,
07:20-07:30,FE-2,ВКС Laptops Antivirus Scan Check and Status Report,,,,,
07:30-07:55,.,Daily Planning Conference (S-band),,,,,
07:55-08:10,FE-6,Morning Inspection,,,,,
07:55-08:45,CDR,BREAKFAST,,,,,
07:55-08:10,FE-4,BREAKFAST,,,,,
07:55-08:15,FE-3,Work Prep,,,,,
07:55-08:35,FE-2,BREAKFAST,,,,,
