0,1,2,3,4,5
GMT,CREW,ACTIVITY,,,
06:00-06:10,,Morning inspection,,,
06:10-06:40,,Post-sleep,,,
06:40-07:30,,BREAKFAST,,,
07:30-10:30,CDR,Weekly housekeeping,,,
07:30-08:00,FE-1,System config for water transfer from Rodnik tank in Progress to Rodnik tank БВ1in SM. Tagup (S-band),,,
08:00-08:05,BIOPSY: food frequency log,,,,
08:30-08:3509:05-09:1009:40-09:5010:20-10:3011:00-11:40,Water transfer from Rodnik tank in Progress to Rodnik tank БВ1 in SM (monitoring)Tagup (S-band),,,,
11:40-11:50,Finish water transfer from Rodnik tank in Progress to Rodnik tank БВ1 in SM.Tagup (S-band),,,,
11:50-13:20,FE-1,Physical Exercise (TVIS) day 2,,,
12:40-12:55,CDR,Reboot all PCS (once a week),,,
12:55-13:00,Reboot SSC OCA,,,,
13:20-14:20,,LUNCH,,,
14:20-14:50,Weekly planning conference (S-band),,,,
14:50-14:55,FE-1,BIOPSY: food frequency log,,,
15:00-15:15,CDR,Training for FMVM experiment,,,
15:15-15:30,FMVM experiment conference with specialists (S-band),,,,
15:45-17:15,Physical Exercise (RED),,,,
17:15-18:15,Physical Exercise (CEVIS),,,,
17:15-18:15,FE-1,Physical Exercise (VELO + Force Loader-1) day 2,,,
18:15-18:20,CDR,TVIS/RED/HRM data transfer to MEC,,,
18:20-18:25,Carbon dioxide level monitoring,,,,
19:25-19:30,FE-1,BIOPSY: food frequency log,,,
19:30-20:00,,DINNER,,,
20:00-20:30,Daily food prep,,,,
20:30-21:30,Pre-sleep,,,,
21:30-06:00,SLEEP,,,,
Task List,FE-1*01:00,ETD. Experiment ops,,,
FE-1*01:00,ODF replacement,,,,
GMT,CREW,ACTIVITY,,,
22:30-22:40,,Morning inspection,,,
22:40-22:55,FE-1,Post-sleep,,,
,CDR,Urine biochemistry,,,
22:55-23:10,FE-1,,,,
,CDR,Post-sleep,,,
23:10-23:55,,BREAKFAST,,,
23:55-00:05,CDR,Configure OPS LAN for USOS Hatch Closure,,,
23:55-00:55,FE-1,DC1 and ПхО preparation for EVA,,,
00:05-00:25,CDR,"USOS hatch closure before EVA from RS. Hatches between Lab and Node1,between Node1 and Lab, between Node1 and A/L, between Node1 and PMA1.",,,
00:25-00:55,DC1 and ПхО preparation for EVA,,,,
00:55-02:10,,ISS onboard system config for EVA,,,
02:10-02:45,Orlan Systems check,,,,
02:45-03:10,FE-1,ПхО БСС checkout,,,
02:45-03:10,CDR,DC1 БСС  checkout,,,
03:10-03:20,FE-1,Comm. System setup before EVA,,,
03:20-04:00,,"Orlan, БСС, comm. systems, and medical parameter telemetry check",,,
04:00-04:25,LUNCH,,,,
04:25-04:40,ISS onboard system configuration for EVA,,,,
04:40-04:55,CDR,Air duct disassembly in DC1.  Do not dismantle fan B3,,,
04:40-04:55,FE-1,DC1 БК-3 Check,,,
04:55-05:15,,Final inspection of Orlan and БСС,,,
05:15-05:45,EVA gear donning,,,,
05:45-07:25,Depress for EVA,,,,
07:25-12:50,"EVA12.  Installation of УРМ-Д with connector panel, Rokviss on УРМ-Д (Roboticmonoblock), BIORISK-МСН, transfer of МPАC&SEED panel #3",,,,
12:50-13:50,Post EVA repress,,,,
13:50-14:05,FE-1,On MCC Go ISS air repress from Progress 351 СрПК unit,,,
13:50-14:05,CDR,Urine biochemistry,,,
14:05-14:20,FE-1,,,,
14:20-14:35,,ISS activation after EVA,,,
14:35-15:05,DINNER,,,,
15:05-15:35,FE-1,Reconfigure comm for nominal ops,,,
15:20-15:40,CDR,Open USOS hatches post EVA from RS,,,
15:35-15:50,FE-1,Assemble air ducts in DC1,,,
15:40-15:50,CDR,Reconfigure OPS LAN following USOS Hatch Opening,,,
15:50-17:55,,"ISS RS, DC1 reconfiguration to initial state. Drying of T/O water supply lines.",,,
17:55-18:30,,Pre-sleep,,,
18:30-06:00,.,SLEEP,,,
GMT,CREW,ACTIVITY,,,
06:00-06:10,.,Morning inspection,,,
06:10-06:40,Post-sleep,,,,
06:40-06:50,FE-1,МО-8. Set-up,,,
,CDR,Calf volume measurement,,,
06:50-07:00,FE-1,,,,
06:50-07:05,CDR,Body mass measurement,,,
07:05-07:20,FE-1,,,,
07:05-07:55,CDR,BREAKFAST,,,
07:20-07:30,FE-1,МО-8. Closeout ops,,,
07:30-07:35,Elektron switch off,,,,
