0,1,2,3,4
GMT,CREW,,ACTIVITY,
11:00-11:10,,Morning inspection,,
11:10-11:40,,Post-sleep,,
11:40-12:30,,BREAKFAST,,
12:30-13:00,FE-1,Work prep,,
12:30-12:50,CDR,Work prep,,
12:50-12:55,CDR,Express Rack 5 - laptop power up,,
12:55-13:00,CDR,"SNFM, EXPRESS rack 5 data exchange analysis.",,
13:00-13:15,,Daily planning conference (S-band),,
13:15-14:25,,Ops with Orlan replaceable elements,,
14:25-15:25,,Installation of helmet lights on Orlan,,
15:25-15:55,,Testing ПОВ [EVA support panel] in DC1 and ПхО [Transfer Compartment],,
15:55-17:25,FE-1,"Physical Exercise (TVIS), day 2",,
15:55-17:25,CDR,Physical exercise (CEVIS),,
17:25-18:25,,LUNCH,,
18:40-18:45,CDR,Rebooting OCA SSC router,,
18:45-18:50,CDR,Carbon dioxide monitoring,,
18:50-19:50,,"""Egress from DC1"" procedure review",,
19:50-20:20,CDR,СОЖ maintenance,,
19:50-20:30,FE-1,Installation of additional portable repress tank (БНП) in DC1,,
,,Serial Network Flow Monitor (SNFM): loading registration file onto EXPRESS,,
20:25-20:30,CDR,,,
,,rack 5 ELC laptop,,
20:30-20:40,FE-1,Soyuz Gas Analyzer deactivation,,
20:30-20:50,CDR,IMS update,,
,CDR,,,
,,A study of cardiovascular system response to graded cycle ergometer exercise,,
20:50-21:40,FE-1-,,,
,,(То=21:11). Tagup with specialists (VHF),,
,assists,,,
21:45-21:50,CDR,EXPRES rack 5 laptop power down,,
22:00-22:15,,Flight Director/ISS Crew Tagup (S-band),,
,FE-1,,,
,,A study of cardiovascular system response to graded cycle ergometer exercise,,
22:25-23:15,CDR-,,,
,,(То=22:45). Tagup with specialists (VHF),,
,assists,,,
23:15-00:15,CDR,Physical exercise (RED),,
,,"Portable repress tank (БНП #3 п.1, b/c 001473R СО1ВПС_2) set up in РО",,
23:15-23:55,FE-1,,,
,,(Working Compartment),,
00:00-00:30,FE-1,Daily plan review,,
00:15-00:20,CDR,"Transferring TVIS, RED, and HRM data to MEC",,
00:35-00:50,,Daily planning conference (S-band),,
00:50-01:20,,DINNER,,
01:20-01:50,,Report prep,,
01:50-02:30,,Pre-sleep,,
02:30-13:00,,SLEEP,,
,,GCF-JAXA. ТБУ incubator temperature check,,
Task list,FE-1,,,
,,PLANTS-2. Payload status check,,
GMT,CREW,ACTIVITY,,
13:00-13:10,.,Morning Inspection,,
13:10-13:40,Post-sleep,,,
13:40-14:30,BREAKFAST,,,
14:35-14:50,CDR,Private Family Conference (Ku + S-band),,
15:15-15:55,FE-1,Restore Suit #27 arm lacing.  Tagup (S-band),,
17:00-17:15,CDR,Private Psychological Conference (S-band),,
17:30-19:00,Physical Exercise (TVIS),,,
19:00-20:30,FE-1,Physical Exercise (TVIS) day 4,,
19:00-20:00,CDR,Physical Exercise (RED),,
20:30-21:30,.,LUNCH,,
21:40-21:55,FE-1,"Motorola phone charging: setup, start charge",,
22:10-22:15,Motorola phone charging - status check,,,
22:30-22:35,,,,
22:50-22:55,,,,
23:10-23:20,"Motorola phone charging - terminate charging, cleanup",,,
23:45-00:15,"СОЖ maintenance / СВО, СП data calldown",,,
00:15-01:15,Physical Exercise (VELO+RED)-4.,,,
01:00-01:05,CDR,CSA O2/CO2 status check,,
01:15-01:45,.,Daily Plan Review,,
01:45-02:00,Daily Planning Conference (S-band),,,
02:00-02:30,Report prep,,,
02:30-03:00,DINNER,,,
03:00-03:30,Daily Food Prep,,,
03:30-04:30,Pre-sleep,,,
04:30-13:00,SLEEP,,,
Task List,FE-1,GCF-JAXA. ТБУ incubator temperature check,,
PLANTS-2. Payload status check,,,,
GMT,CREW,,ACTIVITY,
06:00-06:05,FE-1,ПК-3 PLUS. Turbo-pump activation,,
06:00-06:10,CDR,,,
,,Morning inspection,,
06:05-06:10,FE-1,,,
06:10-06:40,,Post-sleep,,
06:40-07:30,,BREAKFAST,,
,,,,
07:30-08:00,,Work prep,,
08:00-08:15,,Daily planning conference (S-band),,
08:15-08:45,FE-1,Installing ИП-1 flow meters on  DC1-Progress hatch,,
08:15-08:25,,CWC inventory,,
,CDR,,,
08:35-09:35,,DOUG s/w session for robo ops,,
08:55-09:45,FE-1,TV (ISS-MCC) ПК-3 PLUS Experiment (start). Tagup with specialists (S-band),,
09:35-10:05,CDR,Prepping DOUG s/w and SSC for real time ops,,
09:45-10:15,FE-1,СОЖ maintenance. Check ИП-1 position,,
10:05-10:35,CDR,MBS releasing by the crew and rotating to position for IUA inspection in zenith,,
10:15-10:35,,Cleaning БВН (Fan With Heater) screen in Soyuz,,
,FE-1,,,
10:35-10:50,,IMS tagup (S-band),,
10:50-12:20,CDR,Physical exercise (CEVIS),,
10:55-11:10,,ПК-3 PLUS. Experiment (termination). Tagup with specialists (S-band),,
11:10-11:50,FE-1,ПК-3 PLUS. Copy data from the hard drive. Tagup with specialists (S-band),,
