0,1,2,3,4,5,6
TIME,CREW,ACTIVITY,,,,
06:00-06:10,CDR,Morning Inspection. SM ПСС (Caution & Warning Panel) Test,,,,
06:00-06:10,FE-2,Morning Inspection. Laptop RS2(1) Reboot,,,,
06:00-06:05,FE-6,REACTION - Self-reaction test,,,,
06:00-06:10,FE-5,Morning Inspection,,,,
06:00-06:05,FE-3,ENERGY Experiment Constraints Reminder,,,,
06:00-06:10,FE-4,"Morning Inspection. RSS 1, 2 Reboot /",,,,
06:05-06:10,FE-3,Reading REMINDER,,,,
06:05-06:10,FE-6,Morning Inspection,,,,
,"CDR, FE-2,",,,,,
06:10-06:40,"FE-3, FE-4,",,,,,
,FE-5,Post-sleep,,,,
06:10-06:20,FE-6,,,,,
06:20-06:55,FE-6,,,,,
06:40-07:25,FE-3,BREAKFAST,,,,
06:40-07:30,"CDR, FE-2, FE-4, FE-5",,,,,
06:55-07:05,FE-6,COSMO - NODE3 Laptop Deployment,,,,
07:05-07:30,FE-6,COSMO - HDTV Camera Setup,,,,
07:25-07:30,FE-3,ENERGY Diet Log of Breakfast,,,,
07:30-07:50,,Daily Planning Conference (S-band),,,,
07:50-08:00,FE-5,BREAKFAST,,,,
07:50-08:10,FE-6,COSMO - Camera Preparation,,,,
07:50-08:10,"CDR, FE-2",Gear prep / .,,,,
07:50-08:35,FE-3,ENERGY - Hardware Removal and Stowage,,,,
07:50-09:50,FE-4,Replacement of КОБ2 loop Н2 pump on 4СПН2 panel. Tagup with specialists as necessary (S-band),,,,
08:00-08:20,FE-5,Work Prep,,,,
08:10-08:30,FE-6,Post-sleep,,,,
08:10-08:20,"CDR, FE-2",Battery Installation in Orlan Telemetry Unit (БРТА),,,,
08:20-08:50,"CDR, FE-2",Orlan 4 and 6 fit adjustment by height,,,,
08:30-08:45,FE-6,"COSMO - Setting Camera, Connecting Microphone",,,,
08:35-08:40,FE-3,ENERGY - Water Sample Collection,,,,
08:40-10:10,FE-5,ARED Exercise,,,,
08:40-09:00,FE-3,ENERGY - Urine Sample Collection,,,,
08:45-09:05,FE-6,COSMO - Camera View Check,,,,
08:50-09:10,CDR,Work Prep,,,,
08:50-09:00,FE-2,ПхО БК-3М Oxygen Tank Pressure Check,,,,
09:00-09:10,FE-2,DC1 БК-3М Oxygen Tank Pressure Check,,,,
09:05-09:15,FE-6,COSMO - Camera lens exchange,,,,
TIME,CREW,,ACTIVITY,,,
,,Morning Inspection.,,,,
06:00-06:10,CDR,Laptop RS2(1) Reboot,,,,
,,SM ПСС (Caution & Warning Panel) Test,,,,
,,Morning Inspection.,,,,
,,"RSS1,2 Reboot",,,,
06:00-06:10,FE-2,Visual Inspection of Circuit Breaker (АЗС) Position on DC Power Switch,,,,
,,"Panel (БВП) in MRM2 and Fuses on Fuse Boxes БПП-30, 36 per LED",,,,
,,indication,,,,
06:00-06:10,"FE-3, FE-5, FE-6",Morning Inspection,,,,
06:00-06:10,FE-4,"Morning Inspection. Visual Check of БПП-4, БПП-7 Fuses in MRM1",,,,
06:10-06:40,,Post-sleep,,,,
06:40-07:30,,BREAKFAST,,,,
07:30-07:45,,Work Prep,,,,
07:45-08:05,,Daily Planning Conference (S-band),,,,
08:05-09:05,FE-5,CEVIS Exercise,,,,
08:05-08:10,FE-4,СТТС Configuration for MRM1,,,,
