0,1,2,3,4,5
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
08:05–08:45,FE-2,Maintenance of СОЖ,,,
08:05–08:10,CDR,Calldown of СВО water supply data (S-band),,,
08:10–08:15,Calldown of СП counter data (S-band),,,,
10:15–11:45,FE-1,Physical exercise (RED),,,
10:45–11:45,CDR,Physical exercise (TVIS-2),,,
11:30–13:00,FE-2,Physical exercise (VELO+RED day 2),,,
11:45–12:45,FE-1,Physical exercise (TVIS),,,
13:00–14:00,,LUNCH,,,
14:00–14:10,FE-1,Off-day LAB payload status check,,,
14:15–14:30,Private psychological conference (S-band),,,,
15:00–15:15,Private family conference (S-band),,,,
15:30–15:45,CDR,,,,
15:45–17:15,Physical exercise (TVIS / active rest – day 2),,,,
16:40–16:55,FE-2,Private family conference (S-band),,,
17:15–18:15,Physical exercise (TVIS-2),,,,
18:15–18:45,,Daily plan review,,,
18:45–19:00,Daily planning conference (S-band),,,,
19:00–19:30,Report prep,,,,
19:30–20:00,DINNER,,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,,Crew,,Activity,
06:00–06:10,,"CDR, FE-1",,Morning inspection,
06:00–06:05,,FE-2,,,
06:05–06:10,,FE-2,,PLASMA CRYSTAL-3: turbo pump activation,
06:10–06:25,,FE-1,,Post-sleep,
06:10–06:20,,FE-2,,Setup for MO-8,
06:10–06:20,,CDR,,Calf volume measurement,
06:20–06:35,,,Body mass measurement,,
06:20–06:40,,FE-2,,Post-sleep,
06:25–06:35,,FE-1,,Calf volume measurement,
06:35–06:50,,,Body mass measurement,,
06:35–07:05,,CDR,,Post-sleep,
06:40–06:50,,FE-2,,Calf volume measurement,
06:50–07:05,,,Body mass measurement,,
,,FE-1,,Post-sleep,
07:05–07:55,,"CDR, FE-1",,BREAKFAST,
07:05–07:15,,FE-2,,МО-8: closeout ops,
07:15–07:25,,,Post-sleep,,
07:25–08:15,,,BREAKFAST,,
07:55–08:30,,"CDR, FE-1",,Prep for work,
08:15–08:30,,FE-2,,,
08:30–08:45,,,,Daily planning conference (S-band),
08:45–08:55,,FE-2,,Prep for work,
,,FE-1,,Microgravity Science Glovebox (MSG) activation,
08:45–10:30,,CDR,,"Inspection of SM shell in SM Work Compartment behind panels 130, 134,135, 138, and TVIS",
08:55–09:05,,FE-2,,DVCAM battery charge,
08:55–09:15,,FE-1,,SUBSA: placement of specimen,
09:05–11:35,,FE-2,,Collection of water samples from СРВ-К and/or СВО-ЗВ,
09:15–09:35,,FE-1,,SUBSA: payloads ops (steps 1-7) 3rd run,
09:35–10:35,,,Physical exercise (TVIS),,
10:30–11:00,,CDR,,Smoke Detector ИДЭ-2 А4: cable continuity check,
10:35–11:05,,FE-1,,Maintenance of RED bolts,
11:00–12:00,,CDR,,Physical exercise (TVIS-2),
11:05–11:15,,FE-1,,SUBSA: payloads ops (step 8) w/ crew participation,
11:15–11:30,,,Routine inspection of RED,,
11:30–13:00,,,Physical exercise (RED),,
12:15–12:20,,CDR,,Inspection of БРПК-2 separator,
12:20–12:40,,,Correction of БИНС using PUMA optical instrument (backup),,
,GMT,,Crew,,Activity
,06:00–06:10,,,,Morning inspection
,06:10–06:40,,,Post-sleep,
,06:40–07:25,,"CDR, FE-2",,BREAKFAST
,06:40–07:05,,FE-1,,
,07:05–07:25,,,Acoustic dosimeter prep,
,07:25–07:30,,,,Acoustic dosimeter install
,07:30–07:45,,,"Greeting GCTC Head P.I. Klimuk on his 60th birthday (IP-telephone, Ku-band;note 2)",
,07:45–08:00,,,Prep for work,
,08:00–08:15,,,Daily planning conference (S-band),
,08:15–08:30,,FE-1,,Microgravity Science Glovebox (MSG): activation
,08:15–08:35,,FE-2,,Renal Stone Risk During Space Flight (Renal): urine collection
,,CDR,,Renal Stone Risk During Space Flight (Renal): end of urine collection,
,08:30–08:40,,FE-1,,SUBSA: software loading verification
,08:35–08:50,,"CDR, FE-2",,IMS tagup (S-band)
,08:40–09:00,,FE-1,,Solidification Using a Baffle in Sealed Ampoules (SUBSA): placement ofspecimen 5
,08:50–10:20,,"CDR,FE-2 assist",,Veloergometer test. Tagup with ground specialist (S-band)
