0,1,2,3,4,5,6
GMT,CREW,ACTIVITY,,,,
06:00-06:10,CDR,Morning Inspection. SM ПСС [Caution & Warning Panel] Test,,,,
06:00-06:10,"FE-1, FE-3,FE-4, FE-5,FE-6",Morning Inspection,,,,
06:10-06:40,,Post-sleep,,,,
06:40-07:30,,BREAKFAST,,,,
07:30-07:55,,Daily Planning Conference (S-band),,,,
07:55-08:05,FE-3,Power Up,,,,
07:55-10:15,CDR,Loading disposal hardware to Progress 411 and IMS updates,,,,
07:55-10:55,"FE-1, FE-4","Review of preliminary EVA timeline and ODF. Viewing DVD. Tagup withspecialists (S-band, VHF)",,,,
07:55-08:15,FE-6,Work Prep,,,,
07:55-08:05,FE-5,Super Sensitive HDTV Converter System Setup,,,,
08:05-08:10,FE-3,Work Prep,,,,
08:05-08:15,FE-5,Super Sensitive HDTV MPC Downlink Start,,,,
08:10-08:20,FE-3,VO2ma-4 Video Setup,,,,
08:15-08:20,FE-6,Set up video equipment to record ARED exercise,,,,
08:20-08:45,FE-3,VO2 Protocol Preparation,,,,
08:20-09:50,FE-6,Physical Exercise (ARED),,,,
08:30-08:50,FE-5,Treadmill Exercise Video Recording Preparation,,,,
08:45-09:05,FE-3,PFS VO2max SW calibration and hardware checkout,,,,
08:50-09:50,FE-5,Physical Exercise T2,,,,
09:05-09:45,FE-3,VO2max Crew Experiment Protocol,,,,
09:45-09:55,FE-3,VO2 Closeout Ops,,,,
09:50-10:00,FE-5,Treadmill Exercise Video Recording Termination,,,,
09:50-11:20,FE-6,WHC R&R,,,,
09:55-10:00,FE-3,VO2 Data Downlink,,,,
10:00-10:35,FE-3,VO2 Stowage,,,,
10:15-11:45,CDR,"Physical Exercise (TVIS), Day 1",,,,
10:40-11:00,FE-5,ТЕРС Relocation,,,,
11:00-11:20,FE-3,HMS Visual Testing Activity,,,,
11:10-11:20,FE-5,SCOF Cable Connection,,,,
11:20-12:20,FE-4,"Physical Exercise (VELO), Day 2",,,,
11:20-12:20,FE-1,"Physical Exercise (TVIS), Day 1",,,,
11:20-12:50,FE-5,Physical Exercise (ARED),,,,
11:20-12:50,FE-3,Inspection of Portable Breathing Apparatus (PBA) and Portable Fire Extinguisher(PFE),,,,
11:20-12:50,FE-6,ARIS Snubber Cup Adjustment,,,,
12:20-13:20,"CDR, FE-1,FE-4",LUNCH,,,,
12:50-13:50,"FE-3, FE-5,",LUNCH,,,,
GMT,CREW,ACTIVITY,,,,
05:25-05:35,"FE-1, FE-4",Morning Inspection,,,,
05:25-05:35,CDR,Morning Inspection. SM ПСС [Caution & Warning Panel] Test,,,,
05:35-06:05,,Post-sleep,,,,
06:05-06:40,FE-1,BREAKFAST,,,,
06:05-07:00,"FE-3, CDR,FE-6, FE-4,FE-5",BREAKFAST,,,,
06:40-07:00,FE-1,MOLNIYA-GAMMA. Setup and start copying data.  Tagup with specialists (S-band),,,,
07:00-07:15,,Daily Planning Conference (S-band),,,,
07:15-07:25,"CDR, FE-3,FE-4",Work Prep,,,,
07:15-07:30,FE-1,БМП Ф2 Absorption Cartridge Regeneration (start),,,,
07:25-09:00,"CDR, FE-4",Install TVIS Gyroscope.  Tagup with MCC-H specialists (S-band),,,,
07:30-08:00,FE-1,Work Prep,,,,
09:00-09:15,CDR,Tighten Subject Positioning Device (SPD),,,,
09:15-09:35,"CDR, FE-4",TVIS Gyroscope R&R,,,,
09:35-10:20,"CDR, FE-4",TVIS Gyroscope R&R,,,,
09:35-10:00,FE-1,"SM, FGB and LAB air sampling using АК-1М sampler",,,,
10:00-10:10,FE-1,ИПД air sampling for CO in SM,,,,
10:20-10:25,CDR,IZGIB -DAKON. Payload Status Check. Report to MCC Tagup withspecialists (S-band),,,,
10:25-10:40,"FE-1, FE-4",HAM Radio Session with participants of space holiday in adoptive families’village Orion,,,,
10:30-10:40,CDR,VHF2д test from SM using backup СТТС sets (VHF),,,,
10:40-11:15,CDR,"IZGIB-DAKON. Copy data to USB, Archive Cleanup, Downlink. Tagup withspecialists (S-band)",,,,
10:40-11:20,FE-4,TVIS Maintenance after Gyroscope Installation,,,,
11:00-11:40,FE-1,СОЖ Maintenance,,,,
11:20-11:30,FE-4,Downlink TVIS Video,,,,
11:40-13:10,FE-1,Physical Exercise (T2) Day  2,,,,
11:45-13:15,CDR,Physical Exercise (ARED),,,,
11:50-12:50,FE-4,"Physical Exercise (VELO), Day  3",,,,
13:10-14:10,"FE-1, FE-4",LUNCH,,,,
13:15-14:15,CDR,LUNCH,,,,
14:15-14:30,FE-1,Verify ИП-1 sensor positions,,,,
14:30-14:50,FE-1,MOLNIYA-GAMMA. End of copying. Tagup with specialists (S-band),,,,
14:50-16:20,FE-1,MOLNIYA-GAMMA. Preparation for downlink.  Tagup with specialists (S-band),,,,
15:20-16:20,CDR,Physical Exercise (T2) Day  2,,,,
15:35-15:55,FE-4,IMS Update,,,,
15:55-16:00,FE-4,Video Setup for TVIS Exercise,,,,
16:00-16:55,FE-4,TVIS Test Exercise Session after Gyroscope Installation Tagup with MCC-H,,,,
GMT,,CREW,,ACTIVITY,,
06:00-06:10,,CDR,,Morning Inspection SM ПСС [Caution & Warning Panel] Test,,
06:00-06:10,,"FE-1, FE-4,FE-5, FE-6",,Morning Inspection,,
06:00-06:30,,FE-3,,SOLO Blood Sample Collection,,
06:10-06:40,,"CDR, FE-1,FE-4, FE-5,FE-6",,Post-sleep,,
06:30-06:50,,FE-3,,SOLO Refrigerated Centrifuge (RC) Setup & Configure,,
06:40-07:30,,"CDR, FE-1,FE-4, FE-5,FE-6",,BREAKFAST,,
06:50-07:00,,FE-3,,Morning Inspection,,
07:00-07:20,,FE-3,,SOLO MELFI Blood Sample Insertion,,
07:20-08:00,,FE-3,,Portable Clinical Blood Analyzer (PCBA) for SOLO Experiment,,
07:30-07:45,,FE-6,,Work Prep,,
07:30-07:40,,FE-4,,Verification of anti-virus scan results on Auxiliary Computer System (ВКС) laptops,,
07:30-07:50,,"CDR, FE-1,FE-5",,Work Prep,,
07:40-07:50,,FE-4,,Stop charging the first Orlan battery pack 825M3 and start charging the secondpack #1262431132 (Orlan suit #6),,
07:45-07:50,,FE-6,,EKAM WORF Battery Swap,,
07:50-08:00,,FE-4,,Work Prep,,
07:50-07:55,,FE-5,,Battery D2XS Charge,,
07:50-07:55,,FE-6,,Photography of ErthKAM Configuration,,
08:00-08:25,,,,Daily Planning Conference (S-band),,
08:25-09:00,,CDR,,СОЖ Maintenance,,
08:25-08:50,,FE-6,,On-orbit Hearing Assessment using EARQ,,
08:25-08:55,,FE-3,,Urine Collection for SOLO Experiment,,
08:25-09:35,,FE-5,,JPM Internal Port Camera Removal and Replacement (R&R). Part 3,,
08:25-09:05,,"FE-1, FE-4",,"Activation and Inspection of Orlan suits #4, 6",,
08:50-09:00,,FE-6,,JPM Internal Port Camera Removal and Replacement (R&R) Part 3,,
08:55-09:25,,FE-3,,Post-sleep,,
09:00-10:00,,FE-6,,Physical Exercise T 2,,
09:00-09:30,,CDR,,Checking KURS-P-SM cable connections and taking pictures. Tagup withspecialists / r/g 6849,,
09:05-09:25,,FE-1,,DC1 БСС [Spacesuit Interface Unit] Checkout,,
09:05-09:25,,FE-4,,ПхО БСС [Spacesuit Interface Unit] Checkout,,
09:25-10:25,,FE-1,,Spacesuit 6 and БСС cooling loop gas/water separation in DC1,,
09:25-10:25,,FE-4,,Spacesuit 4 and БСС cooling loop gas/water separation in DC1,,
09:25-10:15,,FE-3,,BREAKFAST,,
09:30-10:00,,CDR,,Position Т61р Laptop Power Supply on SM (provided by NASA) / r/g 6854,,
09:35-11:05,,FE-5,,Physical Exercise (ARED),,
10:00-10:15,,CDR,,Verify ИП-1 sensor positions,,
GMT,CREW,,ACTIVITY,,,
06:00-06:10,.,,Morning Inspection,,,
06:10-06:40,.,,Post-sleep,,,
06:40-07:30,.,,Breakfast,,,
08:00-09:00,FE-6,,Physical Exercise CEVIS,,,
08:25-08:40,FE-5,,PFC,,,
