0,1,2,3,4
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning Inspection,,
06:10-06:20,FE-2,Post-sleep,,
06:10-06:40,"CDR, FE-1",,,
06:20-06:40,FE-2,Nutrition and Repository - blood samples,,
06:40-07:30,"CDR, FE-1",BREAKFAST,,
06:40-06:50,FE-2,Nutrition and Repository - Refrigerated Centrifuge Config assembly,,
06:50-07:00,FE-2,Nutrition and Repository- Refrigerated Centrifuge Config,,
07:00-07:30,FE-2,BREAKFAST,,
07:30-10:30,CDR,"Weekly HousekeepingGrille cleaning in ВПхО, ВПрК, DC1 В3 and FGB ЦВ ЦВ2 fan",,
07:30-07:55,FE-1,,,
07:30-07:50,FE-2,Placement of blood samples in MELFI,,
07:50-08:10,BREAKFAST,,,
07:55-08:10,FE-1,БМП Ф2 Absorption Cartridge Regeneration (start),,
08:10-10:45,"Weekly HousekeepingGrille cleaning in ВПхО, ВПрК, DC1 В3 and FGB ЦВ ЦВ2 fan",,,
08:10-08:30,FE-2,Post-sleep,,
08:30-08:40,Nutrition and Repository - blood collection sample collection andprocessing kit,,,
08:40-11:40,Weekly Housekeeping,,,
10:30-12:00,CDR,Physical Exercise (TVIS) day 4,,
11:00-11:20,FE-1,Private Family Conference (S + Ku-band),,
12:00-13:00,"Physical Exercise (VELO+RED), Day 4",,,
12:40-13:00,CDR,Private Family Conference (S + Ku-band),,
13:15-13:45,,Weekly planning conference (S-band),,
13:45-14:45,,LUNCH,,
14:45-15:25,CDR,СОЖ Maintenance,,
14:45-15:00,FE-2,Food frequency questionnaire,,
16:15-17:45,Physical Exercise (RED),,,
16:15-17:45,FE-1,"Physical Exercise (TVIS), day 4",,
17:45-18:45,FE-2,Physical Exercise (CEVIS),,
17:45-18:45,CDR,"Physical Exercise (VELO+RED), day 4",,
18:50-19:05,FE-2,Questionnaire - journal entry,,
19:05-19:25,Nutrition and Repository - equipment configuration for urine samplecollection,,,
19:15-19:30,FE-1,Pre-sleep,,
19:25-19:30,FE-2,"Transfer of TVIS, RED, and HRM data to MEC",,
19:30-20:00,,DINNER,,
20:00-20:30,,Daily Food Prep,,
20:30-21:15,FE-1,Pre-sleep,,
20:30-21:30,"CDR, FE-2",,,
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning Inspection,,
06:10-06:20,FE-1,Hematocrit. Hematocrit test,,
06:10-06:20,FE-2,Post-sleep,,
06:10-06:40,CDR,,,
06:20-06:50,FE-1,,,
06:20-06:30,FE-2,Hematocrit. Hematocrit test,,
06:30-06:50,Post-sleep,,,
06:40-06:50,CDR,Hematocrit. Hematocrit test,,
06:50-07:40,"FE-2, FE-1",BREAKFAST,,
06:50-06:55,CDR,Hematocrit. Equipment stow,,
06:55-07:45,BREAKFAST,,,
07:40-08:10,FE-1,Prep for Work,,
07:40-08:05,FE-2,SLEEP - data downlink,,
07:45-08:00,CDR,БМП Ф2 Absorption Cartridge Regeneration (start),,
08:00-08:20,Testing КВД (Pressure Equalization Valve) from DC1 ПОВ (EVA Support Panel),,,
08:05-08:20,FE-2,Prep for Work,,
08:15-08:20,FE-1,Comm config from DC1,,
08:20-08:35,.,Daily Planning Conference (S-band),,
08:35-09:05,.,Kazbek Fit Check,,
09:05-09:35,FE-1,DC1 Config for EVA. Deactivation of Lulin-5 and transfer of Phantom and Lulin-5,,
09:05-10:35,FE-2,Physical Exercise (RED),,
09:05-09:35,CDR,"Replacing Urine Receptacle (МП) #0380171, (СМ1РО_1_139_1, b/c 00045062R)and Filter-Insert (Ф-В) #605072 (СМ1РО_1_138_1, in bag 0570069, b/c00044339R) in АСУ",,
09:35-11:35,"CDR, FE-1",Soyuz Orbital Compartment Emergency Suited Ingress Training. Tagup withspecialists (S-band),,
10:35-11:35,FE-2,Physical Exercise (CEVIS),,
11:35-12:35,FE-1,Physical Exercise (CEVIS + RED),,
,CDR,Physical Exercise (VELO),,
11:35-11:45,FE-2,Sleep - Initialization,,
11:45-12:05,ТЕРС transfer,,,
12:05-12:35,Crew time for ISS adaptation and orientation,,,
12:35-13:35,.,LUNCH,,
13:35-13:40,FE-1,Restore nominal comm config,,
13:35-13:45,CDR,PAO Hardware Setup,,
13:45-14:05,"CDR, FE-1","TV-Greetings to M. Germashevski, the first Polish cosmonaut, on the 30thanniversary of his flight / (S+Ku-band)",,
