0,1,2,3,4,5,6
TIME,CREW,ACTIVITY,,,,
06:00-06:05,CDR,PLAZMENNIY KRISTALL. Pressure Check,,,,
06:00-06:10,FE-2,"Morning Inspection, Laptop RSS1, RSS2 Reboot",,,,
06:00-06:10,FE-3,Morning Inspection,,,,
06:00-06:10,FE-4,Morning Inspection. SM ПСС (Caution & Warning Panel) Test,,,,
06:00-06:05,FE-5,Reaction Self Test,,,,
06:00-06:05,FE-6,REACTION - Self-reaction test,,,,
06:05-06:15,"FE-5, FE-6",Morning Inspection,,,,
06:05-06:15,CDR,"Morning Inspection, Laptop RS2(1) Reboot",,,,
,"FE-2, FE-3, FE-",,,,,
06:10-06:40,,Post-sleep,,,,
,4,,,,,
,"CDR, FE-5, FE-",,,,,
06:15-06:40,,Post-sleep,,,,
,6,,,,,
06:40-07:30,,BREAKFAST,,,,
,"CDR, FE-2, FE-",,,,,
07:30-07:55,,Work Prep,,,,
,"3, FE-4, FE-6",,,,,
07:30-08:00,FE-5,Acoustic dosimeters: Setup for Static Measurement,,,,
,"CDR, FE-2, FE-",,,,,
07:55-08:20,,Daily Planning Conference (S-band),,,,
,"3,FE-4, FE-6",,,,,
08:00-08:20,FE-5,Daily Planning Conference (S-band),,,,
,,ATV Rendezvous and Docking Simulator Proficiency 2. Tagup with specialists,,,,
08:20-09:05,"FE-2, FE-5",,,,,
,,(S-band),,,,
08:20-08:50,FE-3,Capillary Channel Flow (CCF) Onboard Training Review,,,,
08:20-09:00,FE-4,Filling (separation) of ЕДВ (КОВ) for Elektron,,,,
08:20-08:30,FE-6,CIR - Hardware Setup,,,,
08:30-08:45,CDR,ИП-1 Flow Sensor Position Check,,,,
08:40-08:50,FE-6,ISTAR - Procedure Review,,,,
08:45-08:50,CDR,Comm config to support voice comm from MRM2 during the experiment,,,,
,,PLAZMENNIY KRISTALL Hardware Activation and Experiment Start. Tagup with,,,,
08:50-09:10,CDR,,,,,
,,specialists (S-band),,,,
08:50-09:05,FE-6,CFE Procedure Review,,,,
08:50-09:35,FE-3,CCF - Hardware Gather,,,,
09:00-09:40,FE-4,СОЖ Maintenance,,,,
09:05-10:20,FE-6,CCF - Hardware Setup,,,,
09:05-09:10,FE-2,TV-ISS-MCC. PLAZMENNIY KRISTALL. Check TV signal on ВКУ Monitor,,,,
09:05-09:25,FE-5,ESA Weekly Crew Conference,,,,
,,TV-ISS-MCC. PLAZMENNIY KRISTALL. Start and Monitor the Experiment,,,,
09:10-09:50,CDR,,,,,
,,Tagup with specialists (S-band),,,,
,,"TV-MPEG2 (Ku-band).  Start NASA MPEG2 Viewer on SSC ЦП, Monitor",,,,
09:10-09:20,FE-2,,,,,
,,MPEG2 Multicast,,,,
09:20-09:40,FE-2,MATRYOSHKA-R. Monitoring Lulin-5 readings,,,,
09:35-09:45,FE-3,CWC Audit,,,,
,"FE-4, FE-2",,,,,
09:40-10:10,,Hand Ergometry. Tagup with specialists (S-band),,,,
,(assists),,,,,
,TIME,,"CREWFE-2CDRFE-4CDR, FE-2,FE-4CDR, FE-2,FE-4FE-2, FE-4CDRFE-2FE-4FE-2CDRFE-2, FE-4assistsFE-4FE-4,  FE-2assistsCDRCDRFE-2, FE-4FE-2, FE-4CDRFE-4FE-2CDR, FE-4FE-2CDRFE-4FE-4FE-2FE-2FE-4FE-2FE-4",,"ACTIVITYMorning Inspection, Laptop RSS1, RSS2 RebootMorning Inspection, Laptop RS2(1) RebootMorning Inspection. SM ПСС (Caution & Warning Panel) TestPost-sleepBREAKFASTDaily Planning Conference (S-band)Work PrepWork PrepLCS. Activate RSE-LCS laptop to start data recordingСОЖ MaintenanceLCS. Copying data from RSE-LCS laptop to RSS2 and data downlinkFinal ATV Ingress. Tagup with specialists (as necessary)Assessment of Cardiovascular Function on Cycle Ergometer. Tagupwith specialists (S-band)URAGAN. Photo Spectrum System Battery Charge (start)Assessment of Cardiovascular Function on Cycle Ergometer. Tagupwith specialists (S-band)ИП-1 Flow Sensor Position CheckRemoving РСЕ Z0000 Box from ISS SMSpacesuit Height AdjustmentEquipment SetupPhysical Exercise (VELO), Day 3БД-2 Exercise - Day 2Physical Exercise (ARED)LUNCHLUNCHRemoving РСЕ Z0000 Box from ISS SMOrlan Suit No. 5 Backup Bladder Leak Check /Spacesuit No. 5 and БСС (Orlan Interface Unit) Leak Checks andValve TestsVIZIR. Experiment OpsOrlan Suit No. 6 Backup Bladder Leak CheckPrivate Medical Conference (Ku + S-band)Spacesuit No. 6 and БСС (Orlan Interface Unit) Leak Checks andValve TestsPhysical Exercise (ARED)",
,06:00-06:10,,,,,
,06:00-06:10,,,,,
,06:00-06:10,,,,,
,,,,,,
,06:10-06:30,,,,,
,,,,,,
,,,,,,
,06:30-07:15,,,,,
,,,,,,
,07:15-07:40,,,,,
,,,,,,
,07:40-07:55,,,,,
,07:40-08:00,,,,,
,07:55-08:05,,,,,
,07:55-08:35,,,,,
,08:05-08:35,,,,,
,08:15-09:55,,,,,
,,,,,,
,,,,,,
,,,,,,
,09:25-09:35,,,,,
,,,,,,
,,,,,,
,,,,,,
,10:10-10:25,,,,,
,10:25-11:55,,,,,
,10:35-11:35,,,,,
,11:35-11:55,,,,,
,11:55-12:55,,,,,
,11:55-12:55,,,,,
,12:00-13:10,,,,,
,12:55-13:55,,,,,
,13:10-14:10,,,,,
,13:55-16:25,,,,,
,13:55-14:05,,,,,
,,,,,,
,14:05-15:05,,,,,
,,,,,,
,14:10-14:50,,,,,
,14:55-15:05,,,,,
,15:05-15:20,,,,,
,,,,,,
,15:05-16:05,,,,,
,,,,,,
,15:20-16:45,,,,,
TIME,CREW,ACTIVITY,,,,
,,Morning Inspection. Laptop RS2(1) Reboot,,,,
06:00-06:10,CDR,Check position of MRM2 manual Circuit Breakers [АЗС] on БВП СО and,,,,
,,"status of Fuses on Fuse Boxes БПП-30, БПП-36",,,,
06:00-06:10,FE-2,"Morning Inspection. RSS1, RSS2 Reboot Check БПП-4, БПП-7 Fuses in MRM1",,,,
06:00-06:10,"FE-3, FE-4, FE-5, FE-6",Morning Inspection,,,,
06:10-06:40,,Post-sleep,,,,
06:40-07:30,FE-4,BREAKFAST.  SM ПСС (Caution & Warning Panel) Test (after breakfast),,,,
,"CDR, FE-2,",,,,,
06:40-07:30,"FE-3, FE-5,",BREAKFAST,,,,
,FE-6,,,,,
,,Weekly Housekeeping,,,,
,,"SM Ventilation Subsystem Preventive Maintenance, Group E",,,,
07:30-09:50,CDR,FGB ЦВ2 Fan Cleaning,,,,
,,Inspection of Air Conditioner Inspection and Cleaning of Auxiliary,,,,
,,Computer System (ВКС) Laptops,,,,
07:30-10:30,FE-4,Weekly Housekeeping Cleaning Auxiliary Computer System (ВКС) Laptops,,,,
07:30-10:30,FE-2,Weekly Housekeeping Cleaning Auxiliary Computer System (ВКС) Laptops БМП (Micropurification Unit) Fan Grille Cleaning,,,,
10:15-10:30,CDR,Private Family Conference (Ku + S-band),,,,
10:30-11:40,FE-2,Physical Exercise (ARED),,,,
10:30-12:00,FE-4,БД-2 Exercise –Day  4,,,,
10:40-11:40,FE-5,Physical Exercise T2,,,,
11:20-11:30,CDR,LCS. Activate RSE-LCS laptop to start data recording,,,,
11:30-13:00,CDR,БД-2 Exercise - Day 1,,,,
11:40-13:10,FE-5,Physical Exercise (ARED),,,,
11:40-11:55,FE-2,Private Family Conference (Ku + S-band),,,,
12:00-13:00,FE-3,Physical Exercise T2,,,,
12:15-12:30,FE-4,Private Family Conference (Ku + S-band),,,,
,"CDR, FE-2,",,,,,
13:00-14:00,"FE-3, FE-4,",LUNCH,,,,
,FE-6,,,,,
13:10-13:25,FE-5,Private Family Conference (Ku + S-band),,,,
13:25-14:25,FE-5,LUNCH,,,,
14:00-14:50,"CDR, FE-2, FE-4",TV greetings. OCA downlink,,,,
14:45-15:00,FE-6,Private Family Conference (Ku + S-band),,,,
