0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
GMT,Crew,Activity / ODF or R/G,,,,,,,,,,,,,,
23:40–23:50,,Morning inspection,,,,,,,,,,,,,,
23:50–00:20,,Post-sleep,,,,,,,,,,,,,,
00:20–01:00,,BREAKFAST,,,,,,,,,,,,,,
01:00–01:15,,Daily planning conference (morning),,,,,,,,,,,,,,
01:15–01:45,,Work prep,,,,,,,,,,,,,,
01:45–02:20,FE-1-INC1,Physical exercise (TVIS-3),,,,,,,,,,,,,,
01:50–02:10,CDR,Configure and operate CBCS / ? ? ? _1900,,,,,,,,,,,,,,
01:45–01:55,CDR-INC1,IMAX: film loading,,,,,,,,,,,,,,
01:55–02:15,CDR-INC1,IMAX: lighting setup,,,,,,,,,,,,,,
02:15–02:30,CDR-INC1,Plant watering,,,,,,,,,,,,,,
02:30–03:30,CDR-INC1,Physical exercise (IRED),,,,,,,,,,,,,,
02:10–02:30,CDR,Opening ISS/STS hatches / ? ? ? _1915,,,,,,,,,,,,,,
02:20–02:40,FE-1-INC1,"ECG: 24-hour recording / MO Vol. 2, page 3-13, item 3.3",,,,,,,,,,,,,,
02:25–05:40,FE-1,"Transfer ???? assembly. Spacesuit checkout / RODF ? ???????? ?? ?? ??????  page 137, item 18 + r/g 752",,,,,,,,,,,,,,
02:40–05:40,FE-1-INC1,,,,,,,,,,,,,,,
03:30–04:40,"CDR-INC1, CDR",ISS-1/ISS-2 handover / see changes in r/g 739,,,,,,,,,,,,,,
04:40–05:10,"CDR, CDR-INC1",MPLM pre-ingress setup /Multi-purpose Logistics Module: MPLM:Nominal:MPLM Pre-Ingress Equipment Setup,,,,,,,,,,,,,,
05:40–06:00,FE-1,"Spacesuit and gloves dryout / ? ???????? ? ? ?? ??????  pg. 71, item 7.10",,,,,,,,,,,,,,
05:10–06:00,"CDR-INC1, CDR",LUNCH,,,,,,,,,,,,,,
06:40–07:40,"FE-1, FE-1-INC1",LUNCH,,,,,,,,,,,,,,
06:00–06:30,"CDR, CDR-INC1",Removal of CBCS,,,,,,,,,,,,,,
06:30–07:50,"CDR, CDR-INC1",Node1/MPLM vestibule pressurization & leak check,,,,,,,,,,,,,,
06:20–06:40,FE-1,"Spacesuit stowage / RODF ? ???? ????? ? ?????  page 31, item 7",,,,,,,,,,,,,,
06:30–07:50,"CDR, CDR-INC1",Node1/MPLM vestibule pressurization / Multi-Purpose Logistics Module:MPLM: Nominal: Node 1 to MPLM Pressurization and Leak Check,,,,,,,,,,,,,,
07:50–11:50,"CDR, CDR-INC1",Node1/MPLM vestibule outfitting / Multi-Purpose Logistics Module: MPLM:Nominal: Node 1 to MPLM Vestibule Outfitting / ECG: ECLSS: Nominal: THC:2.502 CCAA Dual Operations,,,,,,,,,,,,,,
07:40–08:40,FE-1,,,,,,,,,,,,,,,
08:40–09:00,"FE-1-INC1, FE-1(assist)","Spacesuit stowage / RODF ? ????. ?? ? ?? ??????  pg. 71, item 7.10",,,,,,,,,,,,,,
09.00-09:50,FE-1,"MPLM activation, part 1 / Multi-Purpose Logistics Module:?? MPLM: Nominal:Multi-Purpose Logistics Module Activiation / Execute after Step 16 of MP",,,,,,,,,,,,,,
10:00–10:30,FE-1,Hatch closing. ISS egress / ? ? ? _1915,,,,,,,,,,,,,,
10:45–11:25,FE-1,"MPLM activation, part 2 / Multi-Purpose Logistics Module: MPLM: Nominal:Multi-Purpose Logistics Module Activiation / Execute step 14(16) after s",,,,,,,,,,,,,,
11:40–12:10,CDR-INC1,CCAA reconfig / ECG: ECLSS: Nominal: THC: 2.502 CCAA Dual Operations,,,,,,,,,,,,,,
11:50–12:05,"FE-1, CDR",MPLM ingress,,,,,,,,,,,,,,
12:05–12:50,"FE-1, CDR",Prep for MPLM cargo transfer,,,,,,,,,,,,,,
12:10–13:10,CDR-INC1,Physical exercise (TVIS-USOS ops),,,,,,,,,,,,,,
12:50–13:40,"CDR, FE-1",Collapse RSP fence,,,,,,,,,,,,,,
13:10–13:30,CDR-INC1,Review plan for the next day,,,,,,,,,,,,,,
13:30–14:00,CDR-INC1,DINNER,,,,,,,,,,,,,,
13:40–14:10,"CDR, FE-1",,,,,,,,,,,,,,,
14:00–14:10,CDR-INC1,Daily planning conference (evening) via S-BAND 14:00-14:48,,,,,,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,,,,,,
00:00–00:10,,Morning inspection,,,,,,,,,,,,,,
00:10–00:40,,Post-sleep,,,,,,,,,,,,,,
00:40–01:30,,BREAKFAST,,,,,,,,,,,,,,
01:30–01:40,,Daily planning conference (morning),,,,,,,,,,,,,,
01:40–02:00,CDR,Prep for rack transfer into Lab / Assembly Ops ISS-5A.1: Assembly: Rack Ops:PREP ISS FOR RACK TRANSFER steps 1-3,,,,,,,,,,,,,,
