0,1,2,3,4
GMT,CREW,ACTIVITY,,
06:00-06:10,.,Morning inspection,,
06:10-06:40,Post-sleep,,,
06:40-07:30,BREAKFAST,,,
07:30-08:00,Work prep,,,
08:00-08:15,Daily Planning Conference (S-band),,,
08:15-10:20,CDR,Shuttle hardware prepack,,
08:20-08:50,FE-1,Filling EDV [KOB] for Elektron,,
08:50-09:20,СОЖ maintenance,,,
09:20-10:20,Deinstallation of local temperature sensor switching unit ЛКТ (ТА251МБ) and ROMfrom Progress,,,
10:20-11:20,.,Install Progress 354 docking mechanism,,
11:20-12:50,FE-1,Physical Fitness Evaluation (MO-3),,
11:20-12:50,CDR,Physical Exercise (RED),,
12:50-13:00,CWC audit,,,
13:00-14:00,.,LUNCH,,
14:00-14:05,CDR,Rebooting OCA SSC router,,
14:05-14:25,IMS update,,,
14:05-14:25,FE-1,Cleaning БВН [Fan With Heater] screen in Soyuz,,
14:25-14:40,CDR,Food frequency questionnaire,,
14:35-15:05,FE-1,"Progress activation, air duct deinstallation",,
15:05-15:25,.,Removal and inspection of quick-release screw clamps. Video ops using battery-operated РD100 camcorder,,
15:25-15:45,Closing Progress-SM transfer hatches,,,
15:45-16:45,SM Propulsion Compartment [AO]-Progress Hatch Leak Check,,,
16:45-17:45,FE-1,Physical Exercise (VELO+RED) day 4,,
16:45-17:45,CDR,Physical Exercise (TVIS),,
17:45-17:50,FE-1,"Transferring TVIS, RED, and HRM data to MEC",,
17:50-18:00,CDR,PAO hardware setup,,
17:50-17:55,FE-1,O2 and CO2 status check.,,
18:00-18:10,.,Crew prep for PAO,,
18:10-18:30,CDR,Crew Discretionary Conference (Ku +S-band),,
,FE-1,Daily plan review,,
18:30-18:50,.,Educational PAO Event with California School kids (Ku + S-band),,
18:50-19:15,FE-1,Report prep,,
19:00-19:15,CDR,,,
19:15-19:30,.,Daily Planning Conference (S-band),,
19:30-19:50,FE-1,Daily Food Prep,,
19:30-20:00,CDR,Daily food prep,,
19:50-20:00,FE-1,TV downlink showing SM(AO)-to-Progress interface (Ku + S-band),,
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning inspection,,
06:10-06:40,,Post-sleep,,
06:40-07:30,,BREAKFAST,,
07:30-08:00,,Work prep,,
08:00-08:15,,Daily Planning Conference (S-band),,
08:15-09:15,CDR,"P/L prep for ULF1.1 with IMS update, Part B",,
08:15-08:35,FE-1,24-hour ECG (termination),,
08:35-08:50,FE-1,IMS tagup (S-band),,
08:50-09:00,FE-1,HDD. Tagup with specialists regarding copying photos (VHF),,
09:00-10:55,FE-1,Equipment prepack for return on Soyuz,,
09:20-09:45,CDR,HRF 2: equipment set up for study of pulmonary function,,
09:45-10:00,CDR,ODF procedure printout,,
10:10-11:10,CDR,Crew departure prep,,
10:55-12:25,FE-1,"Physical Exercise (TVIS), day 2",,
11:10-11:20,CDR,HRF 2: equipment checkout for study of pulmonary function,,
11:20-12:25,CDR,Potable water sampling from SRV-K2M and SVO-ZV for on-boardchemical/microbial analysis,,
12:25-12:40,,"Downlink of voice greetings to participants of the Second Russian Festival ""XXICentury Space Journey"" (S-band)",,
12:40-13:40,FE-1,Crew departure prep,,
12:40-13:40,CDR,Physical exercise (TVIS),,
13:40-13:50,CDR,TVIS Weekly Maintenance,,
13:40-13:45,FE-1,,,
13:50-14:50,.,LUNCH,,
14:50-16:30,FE-1,BIODEGRADATION. Sample collection from structure surfaces. Tagup withspecialists (S-band),,
14:50-15:20,CDR,Review of recommendations to update BCAT experiment procedures,,
15:20-15:45,CDR,BIODEGRADATION. Photography of structure surface sampling,,
15:45-16:15,CDR,IMV flow measurement,,
16:25-16:45,CDR,HRF 2: deactivation and stowage of equipment for study of pulmonary function,,
16:45-17:00,.,Daily Planning Conference (S-band),,
17:00-17:30,FE-1,Photography of areas behind panel 425,,
17:30-19:00,CDR,Physical Exercise (RED),,
17:30-18:00,FE-1,СОЖ maintenance.,,
18:00-19:00,FE-1,"Physical Exercise (TVIS), day 2",,
19:00-19:05,CDR,O2 and CO2 monitoring.,,
19:05-19:10,CDR,"Transferring TVIS, RED, and HRM data to MEC",,
19:00-19:30,FE-1,Daily Plan Review,,
19:10-19:30,CDR,IMS update,,
19:30-19:55,.,Daily food prep,,
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning inspection,,
