0,1,2,3,4,5,6
GMT,CREW,,ACTIVITY,,,
11:30-11:40,,Morning Inspection,,,,
11:40-12:10,,Post-sleep,,,,
12:10-13:00,,BREAKFAST,,,,
,,Terminate charging the second Orlan Battery Pack 825М3 and,,,,
13:00-13:10,FE-1,,,,,
,,remove the second Battery Pack from charger,,,,
13:20-13:50,,Weekly Planning Conference (S-band),,,,
13:50-15:20,FE-2,Physical Exercise (ARED),,,,
,,"EVA tool stow, update IMS. Tagup with specialists as necessary (S-",,,,
13:50-15:50,FE-1,,,,,
,,band),,,,
15:10-15:50,CDR,СОЖ Maintenance,,,,
15:20-16:20,FE-2,Physical Exercise (CEVIS),,,,
,FE-1,"Physical Exercise (TVIS), day 1",,,,
15:50-17:20,,,,,,
,CDR,Physical Exercise (ARED),,,,
,,EMU: Terminate Recharge of Rechargeable EVA Battery Assembly,,,,
16:20-16:45,FE-2,,,,,
,,(REBA),,,,
17:20-18:20,,LUNCH,,,,
18:20-18:35,CDR,Private Family Conference (S + Ku-band),,,,
,"CDR, FE-2",Weekly Housekeeping,,,,
19:00-22:00,,Weekly Housekeeping,,,,
,FE-1,,,,,
,,"Grille cleaning in fans: ВПрК, ВПхО, ФС5, ФС6, ФС9, FGB ЦВ2",,,,
22:00-23:00,CDR,Physical Exercise (CEVIS),,,,
22:00-23:00,FE-1,"Physical Exercise (TVIS), day 1",,,,
22:00-22:05,,Rebooting OCA SSC router,,,,
22:05-22:10,FE-2,SSC file server reboot,,,,
22:10-22:20,,CBEF. Fan rotation,,,,
23:00-01:00,,"Presleep (dinner, daily food prep, evening toilet)",,,,
,,,,,,
01:00-09:30,,SLEEP,,,,
GMT,,CREW,,ACTIVITY,,
10:30-10:35,,FE-2,,SLEEP: FE2 Data Log,,
10:30-10:40,,"ISS-19, CDR,FE-1",,Morning Inspection,,
10:35-10:50,,FE-2,,Private Psychological Conference (S +Ku-band),,
,,"ISS-19, FE-1,",,,,
,10:40-11:10,,,Post-sleep,,
,,,"SFPVC, CDR",,,
,,,,,,
10:50-11:10,,FE-2,,Post-sleep,,
,,"ISS-18, SFPVC,",,,,
,11:10-12:00,,,BREAKFAST,,
,,,FE-1-19,,,
,,,,,,
11:10-11:15,,CDR-19,,CRYOGEM-03M. Hardware power up at + 29 degree settingin the thermostatic mode,,
11:15-12:00,,CDR-19,,BREAKFAST,,
12:00-12:15,,,,Prep for Work,,
12:15-12:30,,"ISS-18, ISS-19",,Daily Planning Conference (S-band),,
12:30-12:40,,CDR-19,,CONJUGATION. Removal of Recomb-K from CRYOGEM-03and insertion into CRYOGEM-03M at + 29 deg. setting,,
