0,1,2,3,4,5
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
07:30–07:45,"CDR, FE-2, FE-1-7",Prep for work,,,
08:00–08:15,"CDR, FE-1, ISS7",Prep for work,,,
08:05–08:15,FE-2,Setup for PAO event,,,
08:15–09:05,CDR,Return stowage,,,
08:15–09:05,FE-2,,,,
08:15–08:20,CDR-7,PLANTS-2: payload status check,,,
08:15–08:20,FE-1,MOLNIYA-SM: copying measurement 4 data to HDD No08,,,
08:15–08:25,FE-1-7,US LAB payload status check,,,
08:20–08:35,FE-1,URAGAN: Earth observations and photography,,,
08:35–09:05,Return stowage,,,,
09:05–09:20,,Daily planning conference (S-band),,,
09:20–10:00,CDR,Return stowage,,,
09:20–10:10,FE-1,,,,
09:20–10:15,FE-2,,,,
10:10–10:15,"CDR, FE-1-7",DCP/UOP repeat connect,,,
10:15–10:25,,Prep for PAO event,,,
10:25–10:40,PAO event: CBS and CNN,,,,
10:40–11:40,FE-1-7,Physical exercise (CEVIS),,,
10:40–11:40,"FE-1, CDR-7",Processing commemorative items. Signing and stamping theenvelopes,,,
10:40–11:40,CDR,Physical exercise (TVIS),,,
11:40–12:40,FE-1,Physical exercise (TVIS-2),,,
11:40–12:40,FE-2,Physical exercise (CEVIS),,,
11:40–11:55,CDR-7,Airflow indicators ИП-1: position check,,,
11:50–12:25,"CDR, FE-1-7",CWC fill,,,
11:55–12:00,CDR-7,Checkout of АЗС circuit breakers on DC-1 БВП panel and fuses onDC-1 БПП panel,,,
12:25–12:40,"CDR, FE-1-7",CWC audit,,,
12:40–13:40,,LUNCH,,,
13:40–14:20,CDR-7,Maintenance of СОЖ,,,
13:40–13:45,FE-1,MOLNIYA-SM: copying measurement 5 data to HDD No08,,,
13:45–15:10,FE-1,Removal of ЛКТ (ТА251МБ) device/ROM (ПЗУ) from Soyuz No 211Orbital Module,,,
13:40–16:10,"CDR, FE-1-7",CDRA handover,,,
14:20–15:00,CDR-7,IMS file prep,,,
14:45–15:45,FE-2,Physical exercise (TVIS),,,
GMT,CREW,ACTIVITY,,,
06:00-06:10,,Morning inspection,,,
06:10-06:50,CDR-7,Post-sleep,,,
06:10-06:40,"CDR, FE-1-7,FE-2",,,,
06:10-06:20,FE-1,,,,
06:20-08:00,DIURESIS: end of experiment (day 2 ops),,,,
06:40-07:30,"CDR, FE-2, FE-1-7",BREAKFAST,,,
06:50-07:20,CDR-7,DIURESIS: end of experiment (day 2 ops),,,
07:20-08:00,BREAKFAST,,,,
07:30-08:00,"FE-1-7, FE-2,CDR",Work prep,,,
08:00-08:10,FE-1,Post-sleep,,,
08:10-08:50,BREAKFAST,,,,
08:10-08:25,"CDR, FE-2, ISS-7",Daily planning conference (S-band),,,
08:25-09:25,CDR,Physical exercise (TVIS),,,
08:25-08:35,FE-2,EKAM-Lens swap,,,
08:35-09:25,"FE-1-7, FE-2",ISS crew handover,,,
08:35-09:05,CDR-7,Prep for work,,,
08:50-09:05,FE-1,,,,
09:05-09:20,"FE-1, CDR-7",Regeneration of Ф2 absorption bed in БМП (term),,,
09:20-09:35,FE-1,URAGAN: Earth observations and imagery,,,
09:25-10:25,FE-2,Physical exercise (TVIS),,,
09:25-11:25,"CDR, ISS7",ISS crew handover,,,
09:35-10:25,FE-1,,,,
10:25-11:25,"VOZDUKH power cable R&R (17КС.10Ю 8210А-1680, 1690) / Tagupwith ground specialist (S-band)",,,,
,FE-2,Radiation monitoring: stowage for return,,,
11:25-12:25,FE-1,"Physical exercise (TVIS, day 1)",,,
,"CDR, FE-2, ISS7",SSRMS DOUG s/w review,,,
12:25-13:25,LUNCH,,,,
13:25-15:00,"CDR-7, FE-1",ISS crew handover,,,
13:25-14:25,"FE-1-7, CDR",Suit resizing for ISS-7,,,
13:30-14:10,FE-2,СОЖ maintenance,,,
14:10-14:50,IMS file prep,,,,
14:25-14:55,"FE-1-7, CDR",Thermal control system mid-temperature loop sampling,,,
14:50-15:00,FE-2,Set up for PAO event,,,
15:00-15:10,,Prep for PAO event,,,
15:10-15:30,PAO event: VESTI TV program (Russian RTR TV channel) (S-band),,,,
15:30-17:00,"CDR, FE-2, ISS-7",ISS crew handover,,,
GMT,CREW,Activity,,,
06:00-06:10,,Morning inspection,,,
