0,1,2,3,4
GMT,CREW,ACTIVITY,,
06:00-06:10,.,Morning inspection,,
06:10-06:40,.,Post-sleep,,
06:40-07:30,.,BREAKFAST,,
09:00-09:05,FE-1,Daily LAB window leak check,,
10:00-11:30,CDR,Physical Exercise (TVIS) day 3,,
11:30-12:30,FE-1,Physical Exercise (TVIS),,
12:30-13:30,.,LUNCH,,
15:55-16:10,CDR,Private family conference (VHF),,
16:40-17:10,CDR,"СОЖ maintenance (СП and СВО calldown, БРПК separator inspection)",,
16:45-18:15,FE-1,Physical Exercise (RED),,
17:10-18:10,CDR,Physical Exercise (VELO + Load Trainer/cycle 1) day 3,,
18:10-18:15,CDR,Hematocrit: Preparation,,
18:15-18:45,.,Daily plan review,,
18:45-19:00,.,Report prep,,
19:00-19:15,.,Daily planning conference (S-band),,
19:15-19:30,.,Report prep,,
19:30-20:00,CDR,Daily food prep,,
19:30-19:55,FE-1,Private family conference (Ku+S-band),,
19:55-20:30,FE-1,DINNER,,
20:00-20:30,CDR,DINNER,,
20:30-21:30,.,Pre-sleep,,
21:30-06:00,.,SLEEP,,
Task List,CDR,Uragan,,
ETD,,,,
GMT,CREW,ACTIVITY,,
06:00-06:10,.,"Morning inspection. Monitoring of CB [АЗС] on БВП СО1 and fuses onБПП-30, БПП-36 in DC1.",,
06:10-06:40,.,Post-sleep,,
06:40-07:30,.,BREAKFAST,,
08:00-11:00,.,Weekend housekeeping,,
09:00-09:05,FE-1,Daily LAB window leak check,,
11:00-12:30,CDR,Physical Exercise (TVIS) day 2,,
11:30-12:30,FE-1,Physical Exercise (CEVIS),,
12:30-13:30,,LUNCH,,
13:30-14:00,.,Weekly planning conference (S-band),,
14:00-14:15,FE-1,CCAA deactivation. Equipment stowage.,,
14:15-14:35,FE-1,EMU battery open circuit voltage (OCV) test,,
15:30-15:40,CDR,Private conference on P/L (VHF),,
17:15-18:45,FE-1,Physical Exercise (RED).,,
18:00-18:30,CDR,СОЖ maintenance,,
18:30-19:30,CDR,Physical Exercise (VELO + Force Loader /cycle 1) day 2,,
19:30-20:00,,DINNER,,
20:00-20:30,,Daily food prep,,
20:30-21:30,,Pre-sleep,,
21:30-06:00,.,SLEEP,,
TASK LIST,CDR,URAGAN,,
NEIROCOG. Equipment search and set up,,,,
GMT,CREW,Activity,,
06:00-06:10,.,Morning inspection,,
06:10-06:40,Post-sleep,,,
06:40-07:30,BREAKFAST,,,
07:30-08:00,Prep for work,,,
08:00-08:15,DPC (S-band),,,
08:15-08:20,FE -1,LAB window leak check,,
08:20-10:50,.,EMU don training,,
10:50-13:50,EMU prebreathe dry run,,,
13:50-15:20,EMU doff training,,,
15:20-16:20,LUNCH,,,
16:20-16:30,FE -1,ISS EMU umbilical (IEU) leak check,,
16:45-17:15,CDR,СОЖ maintenance,,
17:10-17:15,FE -1,PCG-STES 010 payload status check (Increment 9),,
17:15-17:45,.,Daily plan review,,
17:45-18:45,CDR,"Physical exercise (VELO+Force Loader-1), day 4",,
17:45-18:45,FE -1,Physical Exercise (CEVIS),,
18:45-19:00,.,DPC (S-band),,
19:00-19:30,Report prep,,,
19:30-20:00,DINNER,,,
20:00-20:30,Daily food prep,,,
20:30-21:30,Pre-sleep,,,
21:30-06:00,SLEEP,,,
Task List,CDR,New MATRIOSHKA hardware parameter table download to ISS WIENER,,
Evaluation of FGB AND DC1 stowage area free spaces,,,,
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning inspection,,
06:10-06:55,CDR,Утренний туалет,,
06:10-06:55,FE-1,Advanced Ultrasound: equipment set up (Part I),,
06:55-07:40,FE-1 (operator)CDR (subject),Advanced Ultrasound: scanning В,,
07:40-08:20,CDR,BREAKFAST,,
07:40-07:55,FE-1,Advanced Ultrasound: equipment deactivation,,
07:55-08:25,FE-1,Post-sleep,,
08:20-08:50,CDR,Prep for work,,
08:25-09:05,FE-1,BREAKFAST,,
08:50-09:05,CDR,"IMS tagup (VHF, S-band)",,
09:05-09:20,,DPC (S-band),,
09:20-10:20,CDR,DOUG s/w review,,
09:20-10:15,FE-1,DOUG s/w review,,
10:15-10:20,FE-1,Power cable connection to DCP,,
10:20-10:25,FE-1,LAB window leak check,,
10:20-11:25,CDR,IFM of SM ventilation system. Group А,,
10:25-10:55,FE-1,Prep for work,,
