0,1,2,3,4,5,6
GMT,CREW,ACTIVITY,,,,
06:00-06:20,CDR,Nutrition: urine collection,,,,
06:00-06:10,"FE-1, FE-2",Morning inspection,,,,
06:10-06:40,Post-sleep,,,,,
06:20-06:25,CDR,Nutrition: urine sample insertion in MELFI,,,,
06:25-06:45,Nutrition- Stowage of urine collection kit,,,,,
06:40-07:30,"FE-1, FE-2",BREAKFAST,,,,
06:45-06:55,CDR,Morning inspection,,,,
06:55-07:25,Post-sleep,,,,,
07:25-08:00,BREAKFAST,,,,,
07:30-08:00,FE-1,Preparation for Replacing Signal VM ДС-7А Smoke Detectors,,,,
07:30-08:00,FE-2,Prep for Work,,,,
08:00-08:15,,Daily Planning Conference (S-band),,,,
08:15-08:40,CDR,Prep for Work,,,,
08:15-08:45,FE-2,Node2 IMV test,,,,
08:15-08:25,FE-1,On MCC Go: Demate ДС-7A telemetry connectors,,,,
08:25-12:40,Replacing Сигнал ВМ ДС-7А Smoke Detectors,,,,,
08:40-08:55,CDR,Set up video equipment to record TVIS exercise,,,,
08:45-09:00,FE-2,CSLM2 - Close Vacuum Vent 1,,,,
08:55-09:00,CDR,Disconnect LTL jumper from LAB1D6 rack after CDRA Deactivation,,,,
09:00-09:30,"CDR, FE-2","LAB/N2 Vestibule Outfitting, Part 3",,,,
09:30-10:30,LAB/ND2 Vestibule Oxygen (O2) Jumper Install & Purge,,,,,
10:30-11:30,LAB/ND2 Vestibule Nitrogen (N2) Jumper Install & Purge,,,,,
11:30-11:45,FE-2,CSLM2 - Open Vacuum Vent 2,,,,
11:35-12:35,CDR,Physical Exercise (TVIS),,,,
11:50-12:00,FE-2,RED bolt maintenance,,,,
12:00-12:05,Scheduled inspection of RED,,,,,
12:05-13:35,Physical Exercise (RED),,,,,
12:35-13:35,CDR,US EVA tool gathering,,,,
12:40-12:50,FE-1,On MCC GO Mate ДС-7А Telemetry Connector to БИТС2-12,,,,
12:50-13:05,Closeout operations after replacing Signal VM ДС-7А Smoke Detectors,,,,,
13:35-14:35,"CDR, FE-1",LUNCH,,,,
13:35-14:20,FE-2,,,,,
14:20-14:35,FE-2,Private Family Conference (S-band),,,,
14:35-15:15,TVIS Monthly Maintenance,,,,,
14:40-15:40,FE-1,Installation of ФПП-СТ64 Elektron Oxygen Supply System [СКО] InterferenceFilter,,,,
