0,1,2,3,4
GMT,CREW ACTIVITY,,,
06:00-06:05,FE-1 Elektron-VM Aerosol Filter Inspection,,,
06:00-06:10,"FE-2,FE-5 Morning Inspection",,,
06:05-06:10,FE-1 Morning Inspection,,,
06:10-06:40,"FE-1,FE-2,FE-5 Post-sleep",,,
06:40-07:30,"FE-1,FE-2,FE-5 BREAKFAST",,,
09:30-11:00,"FE-2 Physical Exercise (TVIS), Day  1",,,
11:00-12:00,"FE-1 Physical Exercise (VELO), Day  1",,,
12:20-12:35,FE-5 Private Family Conference (Ku+S-band),,,
13:00-14:00,. LUNCH,,,
,СОЖ Maintenance.,,,
14:00-14:40,"FE-1 Flush Counter (СП), Water Supply System (СВО), POTOK Air Purification System Data Calldowns for SM and FGB",,,
,Inspection of hoses from МФР to БРПК-2 separator,,,
14:35-14:50,FE-2 Private Family Conference (Ku+S-band),,,
15:15-16:15,"FE-2 Physical Exercise (VELO), Day  1",,,
15:50-16:50,FE-5 Physical Exercise (ARED),,,
15:50-17:20,"FE-1 Physical Exercise (TVIS), Day  1",,,
16:50-18:20,"FE-5 Physical Exercise (TVIS), Day  4",,,
17:30-17:35,FE-1 Elektron-VM Aerosol Filter Inspection,,,
18:40-19:05,. Evening Work Prep,,,
19:05-19:30,. Daily Planning Conference (S-band),,,
19:30-21:30,. Pre-sleep,,,
21:30-06:00,. SLEEP,,,
Task List,FE-5 Saving RSS2 [МКО] software in case of hard drive failure,,,
GMT,,CREW,,ACTIVITY
06:00-06:10,,"CDR, FE-2, FE-3,FE-5",,Morning Inspection
06:00-06:05,,FE-1,,Elektron-VM Aerosol Filter Inspection
06:00-06:05,,FE-6,,PROK- PH Urine Test
06:05-06:10,,"FE-1, FE-6",,Morning Inspection
06:10-06:40,,,,Post-sleep
06:40-07:30,,,,BREAKFAST
07:30-10:30,,"CDR, FE-3, FE-6",,Weekly Housekeeping
07:30-09:45,,FE-2,,"Weekly HousekeepingSM Ventilation Subsystem Preventive Maintenance, Group EFGB ЦВ2 Fan Cleaning"
