0,1,2,3,4,5
GMT,CREW,ACTIVITY,,,
08:30-08:40,,Morning inspection,,,
08:40-09:10,Post-sleep,,,,
09:10-10:00,BREAKFAST,,,,
10:00-10:30,Work prep,,,,
10:30-10:45,Daily planning conference (S-band),,,,
10:45-11:00,FE-2,Regeneration of Ф2 absorption bed in БМП (end),,,
10:45-11:15,"CDR, FE-1",Ku-band configuration for TV transmission of Soyuz docking,,,
11:15-13:15,"CDR, FE-2",Preparation of work sites for VC-4. Tagup w/ specialists (S-band),,,
11:15-11:25,FE-1,EMU battery charge (init),,,
11:30-12:30,Physical exercise (TVIS),,,,
12:30-14:00,Physical exercise (RED),,,,
13:15-14:30,CDR,Physical exercise (TVIS – 4),,,
14:00-15:00,FE-2,Physical exercise (VELO + Load Trainer-1) – 4,,,
14:00-14:10,FE-1,EVARM badge reader activation,,,
14:10-14:20,Daily payload status check,,,,
14:20-14.25,CDRA activation,,,,
14:30-15:00,"CDR, FE-1",Ku-band TV transmission test (prep for Soyuz docking),,,
15:00-15:30,,Flight prep tagup (S-band),,,
15:30-15:45,FE-1,EVARM: pre-EVA background read,,,
15:30-15:35,CDR,Inspection of БРПК separator,,,
15:35-15:40,Inspection of [ВР] fan in СКВ1(2),,,,
15:40-15:45,PLANTS-2: payload status check,,,,
15:45-16:45,,LUNCH,,,
16:45-17:15,ISS 5 / ISS-6 crew conference (S-band),,,,
17:15-18:15,"CDR, FE-2",Prep for crew departure,,,
17:15-17:55,FE-1,,,,
17:55-19:55,PFMI stowage,,,,
18:15-18:55,CDR,СОЖ maintenance,,,
18:30-20:00,FE-2,Physical exercise (TVIS – 4),,,
19:30-20:00,CDR,IMS file prep,,,
19:55-20:40,FE-1,Glove Box (MSG) cleanup,,,
20:00-21:00,"CDR,FE-2 (assist)",Orthostatic stability evaluation in LBNP. Tagup w/ specialists (VHF). То=20.22,,,
20:40-20:45,FE-1,Glove Box (MSG): powerdown,,,
20:55-21:20,Daily plan review,,,,
21:00-21:20,"CDR, FE-2",,,,
21:20-21:35,,Daily planning conference (S-band),,,
21:35-22:00,Work prep,,,,
22:00-22:30,DINNER,,,,
22:30-23:00,Daily food prep,,,,
TIME,,CREW,ACTIVITY,,
09:15-09:25,,ISS morning inspection,,,
09:25-09:55,.,POST-SLEEP,,,
09:55-10:45,,BREAKFAST,,,
10:45-11:15,"CDR,FE-2",Work-prep,,,
10:50-11:05,,PFC (S-band),,,
,FE-1,,,,
11:05-11:15,,Work-prep,,,
11:15-11:30,,DPC (S-band),,,
11:30-11:40,FE-1,Payloads status check,,,
11:30-11:45,FE-2,ГФИ-8. Uragan,,,
12:05-13:05,CDR,PE (TVIS)- 1,,,
13:05-13:25,"FE-2,MS4","Census. Private conference (room.23, MCC-M)",,,
13:25-14:25,FE-2,PE (TVIS)- 1,,,
13:45-14:30,CDR,Start nitrogen transfer,,,
13:50-14:10,,ARIS. Electrical grounding.,,,
,FE-1,,,,
14:10-14:45,,"MTL sampling, internal TCS",,,
14:40-14:45,CDR,PLANTS-2. Equipment performance check.,,,
14:45-15:45,.,MIDDAY MEALS,,,
15:45-16:05,"CDR,FE-2,MS4 PAO event with journalists in MCC-M (Ku+S-band)",,,,
15:45-16:45,FE-1,PCG-STES 07 and 08 units transfer,,,
16:05-16:35,FE-2,Delta-file downlink prep,,,
16:15-16:25,,EVARM – activate data reader,,,
,CDR,,,,
16:25-16:55,,Equipment transfer,,,
16:35-17:15,FE-2,СОЖ-MAINT,,,
16:45-16:55,FE-1,PCG-STES – 007 unit activation,,,
16:55-17:15,CDR,EVARM – post-EVA readings,,,
16:55-17:55,FE-1,PE TVIS,,,
17:15-19:15,FE-2,Equipment transfer,,,
17:55-18:55,FE-1,STELSYS experiment samples transfer,,,
18:15-19:45,CDR,PE (TVIS)-1,,,
19:05-19:25,FE-1,ТVIS and IRED data download in МЕС.,,,
19:15-20:15,FE-2,PE (VELO+НС-1)-1,,,
19:25-19:35,,"EXPRESS 2 rack, power up",,,
,FE-1,,,,
19:35-19:45,,ARIS on EXPRESS 2 rack – remove guides.,,,
19:45-20:45,"CDR,FE-1",,,,
,,EVA timeline review,,,
20:15-20:45,FE-2,,,,
20:45-21:00,,DPC (S-band),,,
21:30-22:30,,Joint DINNER,,,
,.,,,,
22:30-23:45,,PRE-SLEEP,,,
23:45-08:15,,SLEEP,,,
GMT,CREW,ACTIVITY,,,
08:30-08:40,.,Morning inspection,,,
08:40-09:10,Post-sleep,,,,
09:10-10:00,BREAKFAST,,,,
10:00-10:05,CDR,PLANTS-2: payloads status,,,
10:00-10:20,FE-1,Renal Stone: urine collection,,,
11:30-12:30,Physical exercise (TVIS),,,,
12:15-14:20,CDR,Test on TVIS (tagup w/ specialists via S-band),,,
12:30-13:40,FE-2 (assist),,,,
12:30-14:00,FE-1,Physical exercise (RED),,,
14:00-14:20,Renal Stone: urine collection,,,,
14:05-14:20,FE-2,Renal Stone: metabolic log,,,
14:20-14:50,.,Daily planning conference (S-band),,,
14:50-15:50,LUNCH,,,,
15:50-18:50,Weekly station cleanup,,,,
18:50-19:10,FE-1,Renal Stone: urine collection,,,
19:10-19:25,Renal Stone: metabolic log,,,,
19:25-19:35,LAB payloads status check on crew rest day,,,,
19:30-20:10,CDR,СОЖ maintenance,,,
19:30-20:50,FE-2,Physical exercise (TVIS + Active Rest) -1,,,
19:35-19:55,FE-1,Downlinking file with physical exercise data,,,
21:40-22:00,FE-1,Renal Stone: urine collection,,,
22:00-22:30,.,DINNER,,,
22:30-23:00,Daily food prep,,,,
23:00-00:00,Pre-sleep,,,,
00:00-08:30,SLEEP,,,,
GMT,Crew,Activity,,,
08:00–08:10,,Morning inspection,,,
08:10–08:40,,Post-sleep,,,
08:40–09:30,,BREAKFAST,,,
09:30–09:35,CDR,PLANTS-2: payload status,,,
10:40–10:45,FE-1,Microgravity Science Glovebox (MSG) activation,,,
10:45–10:55,MSG power monitoring,,,,
11:10–11:30,PFMI: specimen removal,,,,
11:30–11:40,Pore Formation and Mobility Investigation (PFMI),,,,
11:40–11:50,PFMI: videotape removal,,,,
11:50–11:55,CDR,Calldown of СП counter status,,,
11:50–12:10,FE-1,Videotape insert / MSG/PFMI activation,,,
11:55–12:00,CDR,Calldown of СВО water supply status,,,
12:00–12:05,Inspection of БРПК-1 separator,,,,
12:05–12:10,Inspection of ВР fan in СКВ1,,,,
12:10–12:20,FE-1,"EPF selection, specimen check, processing init and computer startup",,,
12:20–13:00,FE-2,Maintenance of СОЖ,,,
12:30–14:00,CDR,Physical exercise (TVIS + active rest / day 4),,,
13:00–14:00,FE-2,Physical exercise (VELO + Load Trainer / day 4),,,
14:00–15:00,,LUNCH,,,
15:00–15:15,CDR,Private family conference,,,
15:00–15:10,FE-1,Daily payload status check,,,
16:25–16:40,FE-2,Private family conference,,,
16:50–17:00,FE-1,PFMI: videotape removal,,,
17:45–19:15,Physical exercise (RED),,,,
18:15–19:45,FE-2,Physical exercise (TVIS + active rest / day 4),,,
19:15–20:15,CDR,Physical exercise (TVIS),,,
19:15–20:15,FE-1,Physical exercise (CEVIS),,,
20:15–20:45,,Daily plan review,,,
20:45–21:15,,Prep for work,,,
21:15–21:30,,Daily planning conference,,,
21:30–22:00,,DINNER,,,
22:00–22:30,,Daily food prep,,,
22:30–23:30,,Pre-sleep,,,
23:30–08:00,,SLEEP,,,
TIME,,CREW,,ACIVITY,
09:15-09:25,.,,Station morning inspection,,
09:25-09:55,"CDR,FE-1",,POST-SLEEP,,
09:25-09:35,FE-2,,POST-SLEEP,,
09:35-10:05,FE-2,,Air sampling using ИПД samplers after МЕТОХ regeneration completion,,
09:55-10:45,"CDR,FE-1",,Breakfast,,
10:05-10:45,FE-2,,Breakfast,,
10:45-11:00,.,,DPC (S-band),,
11:00-11:15,"FE-1,FE-2",,Work-prep,,
11:00-11:15,CDR,,Preparations for Euro-Med conference participants TV greetings,,
,ISS-5 (MS-4 if,,,,
11:15-11:30,,,TV greetings to the Euro-Med conference participants,,
,available),,,,
11:30-11:40,CDR,,EVARM – data reader activation,,
11:30-15:00,"FE-1,FE-2",,TVIS R&R,,
11:45-12:15,,,Config for O2 transfer from Shuttle to ISS,,
12:15-12:30,,,O2 transfer (init.),,
