0,1,2,3,4
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning inspection,,
06:10-06:40,Post-sleep,,,
06:40-07:30,BREAKFAST,,,
07:30-10:30,Weekly housekeeping,,,
10:30-11:00,CDR,EarthKAM: hardware deactivation and stowage,,
10:50-12:20,FE-1,Physical Exercise (TVIS) day 3,,
11:15-12:00,CDR,SSC 760XD Laptop reboot,,
12:20-12:50,,Weekly planning conference (S-band),,
12:50-13:50,LUNCH,,,
13:50-14:10,ISS crew / Program management weekly conference (S-band),,,
15:10-16:10,CDR,Physical Exercise (CEVIS),,
16:10-17:40,Physical Exercise (RED),,,
16:55-17:25,FE-1,СОЖ maintenance,,
17:40-17:45,CDR,TVIS exercise data download to MEC,,
18:30-19:30,FE-1,Physical Exercise (VELO + Force Loader/cycle 1) day 3,,
19:30-20:00,,DINNER,,
20:00-20:30,Daily food prep,,,
20:30-21:30,Pre-sleep,,,
21:30-06:00,SLEEP,,,
Task List,FE-1,,,
Molniya-SM-LSO. Hardware deactivation,,,,
БСПН data copying to flash card via ISS Wiener,,,,
GTS. Set up and function test of FSH3,,,,
GMT,,CREW,,ACTIVITY
06:00-06:10,,.,,Morning Inspection
06:10-06:40,,.,,Post-Sleep
06:40-07:00,,.,,Blood biochemistry
07:00-07:20,,.,,24-h ECG (start)
07:20-08:10,,.,,Breakfast
08:10-08:35,,.,,Work Prep
08:35-08:40,,FE-1,,PL Status Check
08:35-08:40,,CDR,,PLANTS-2. Equipment Monitoring
08:40-08:55,,.,,Daily Planning Conference (S-band)
08:55-11:35,,CDR,,Blood biochemistry
08:55-10:25,,FE-1,,"Corridor rack housekeeping, Part 2"
10:25-11:25,,FE-1,,Physical Exercise - TVIS
11:25-12:55,,FE-1,,Physical Exercise - RED
11:35-11:45,,CDR,,METEOROID. [CMMK] Sensor hook-up to [CMMK] Electronics Box
11:55-12:55,,CDR,,Physical Exercise – TVIS – Day 2
12:55-13:55,,.,,Lunch
13:55-14:55,,.,,VC-7 Program Review. Tagup (S-band)
14:55-15:55,,CDR,,"Gas-Liquid Mix Filter (ФГС) Replacement in СРВК-2М (Install No. 301003(009856R) СМ1РО_1_138_1, dispose of removed filter)"
14:55-15:00,,FE-1,,MCA valve opening
15:00-16:00,,FE-1,,"Corridor rack housekeeping, Part 2"
16:00-16:55,,FE-1,,MSG Rack Hardware Checkout and Reconfig
15:55-16:55,,CDR,,Prep for Soyuz 214 Return
16:55-17:55,,CDR,,Physical Exercise – TVIS – Day 2
16:55-17:55,,FE-1,,Prep for Soyuz 214 Return
17:55-18:25,,CDR,,Physical Exercise - RED
17:55-18:10,,FE-1,,Questionnaire – Journal Entry
18:10-18:15,,FE-1,,MCA valve closure
18:15-18:45,,FE-1,,Review of Next Day's Plan
18:25-18:45,,CDR,,
18:45-19:15,,.,,Report Prep
19:15-19:30,,.,,Food Prep
19:30-19:45,,.,,Daily Planning Conference (S-band)
19:45-20:15,,.,,Dinner
20:15-20:30,,.,,Food Prep
20:30-21:30,,.,,Pre-Sleep
21:30-06:00,,.,,Sleep
Task List,,CDR,,Uragan
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning inspection,,
06:10-06:35,CDR,Post-sleep,,
06:10-06:40,"FE-1, ISS10, VCFE-2",Post-sleep,,
06:35-06:40,CDR,DIUREZ. Experiment Start,,
06:40-07:10,"FE-1-10, VCFE-2",BREAKFAST,,
06:40-07:30,"FE-1, CDR-10",BREAKFAST,,
06:40-07:40,CDR,HEMATOLOGIA. Day 1 Ops (ERYTHROCYTE Kit),,
07:10-07:13,VCFE-2,ARISS-Ham radio session setup,,
07:10-07:30,FE-1-10,HEMATOLOGIA. Day 1 Ops (ERYTHROCYTE Kit),,
07:13-07:25,VCFE-2,ARISS-Ham radio session,,
07:25-07:45,VCFE-2,BREAKFAST,,
07:30-07:45,FE-1-10,BREAKFAST,,
07:30-07:45,"CDR-10, FE-1",Work Prep,,
07:40-08:20,CDR,BREAKFAST,,
07:45-08:00,"FE-1, ISS-10, VCFE-2",Daily Planning Conference (S-band),,
08:00-08:15,"FE-1, ISS-10",Work Prep,,
08:15-08:30,FE-1-10,БМП Ф1 Cartridge Regeneration (Conclusion),,
08:15-08:20,"CDR-10, FE-1",DCP Power Cable Demate,,
