0,1,2,3,4,5,6,7
,TIME,,"CREWCDRFE-1FE-2FE-3, FE-5,",,ACTIVITYMorning inspection. RS1(2) laptop rebootInspection of [МНР-НС]’s [СМ-У] connection behind АСУ panel 139 and of 5182-03transparent hose running from [ДКиВ] to [МНР]Morning inspection. Laptop RSS2 rebootMorning inspection. SM ПСС test,,
,,,,,,,
,06:00-06:10,,,,,,
,,,,,,,
,06:00-06:10,,,,,,
,06:00-06:10,,,,,,
,,,,,,,
,06:00-06:10,,Morning inspection.,,,,
"FE-6CDRFE-1, FE-2,FE-3, FE-5,FE-6CDR...CDRFE-2FE-3FE-5FE-6CDR, FE-1FE-2FE-6FE-2CDRFE-1FE-3FE-5FE-6CDR, FE-1FE-6FE-2FE-2CDRFE-1FE-2FE-6",,,,,,,
,,"Post-sleepPost-sleepShank measurementMorning mealWork prepDPC (S-band)825М3 unit 1 charging termination, unit 2 charging startKASKAD. Manual stirring inside the bioreactorRR – science ops runRR-MCB – hardware deploymentWork prepSS #5, #6 activation and inspection. Specialist conferenceСРВ-К2М sediment trap inspectionCargo transfer into/from Dragon 4[СРВК-2М]’s gas liquid mixture filter R&R. Install #1109020 (00056503R,",,,,,
,06:10-06:30,,,,,,
,,,,,,,
,06:10-06:40,,,,,,
,,,,,,,
,06:30-06:40,,,,,,
,06:40-07:30,,,,,,
,07:30-07:45,,,,,,
,07:45-08:10,,,,,,
,08:10-08:20,,,,,,
,08:10-08:20,,,,,,
,08:10-09:00,,,,,,
,08:10-08:20,,,,,,
,08:10-08:25,,,,,,
,08:20-09:00,,,,,,
,08:20-08:35,,,,,,
,08:25-09:15,,,,,,
,,,,,,,
,08:35-09:35,,,,,,
,,,"ФГБ1ПГО_2_208_1). Stow the removed one into Progress 423. Update IMSDC1 БСС checkout. Specialist conference[ПхО] БСС checkout. Specialist conferenceRodent Research CASIS – day 2, part 3Rodent Research CASIS – day 2, part 4Dragon cargo transfer conferenceJoint separation of SS#5, #6 and БСС water systems into DC1. Specialist conferenceARED exercise[СРВК-2М] treatment assembly R&R. Install #1405065 (00063853R,",,,,
,,,,,,,
,09:00-09:20,,,,,,
,09:00-09:20,,,,,,
,09:00-12:00,,,,,,
,09:00-11:20,,,,,,
,09:15-09:25,,,,,,
,09:20-10:20,,,,,,
,09:25-10:55,,,,,,
,,,,,,,
,09:35-10:05,,,,,,
,ФГБ1ПГО_1_113_1). Stow the removed one into Progress-423. Update IMSСОЖ maintenanceLower limb veins studyWater systems treatment using [БОС] assembly in [ПхО]. Specialist conferenceExercise data downloadT2 exercise,,,,,,
,,,,,,,
,10:05-10:45,,,,,,
,10:20-11:35,,,,,,
,10:20-11:20,,,,,,
,10:45-11:00,,,,,,
,10:55-11:55,,,,,,
TIME,CREW,ACTIVITY,,,,,
06:00-06:10,CDR,Morning Inspection. Laptop RS1(2) Reboot,,,,,
06:00-06:10,FE-1,Morning Inspection. Laptop RSS2 Reboot,,,,,
06:00-06:10,"FE-2, FE-5",Morning Inspection,,,,,
06:00-06:05,FE-3,Reading REMINDER,,,,,
06:00-06:05,FE-6,Reading REMINDER,,,,,
06:05-06:20,FE-3,HRF - Sample Collection and Prep for Stowage,,,,,
06:05-06:10,FE-6,Reading REMINDER,,,,,
,"CDR, FE-1, FE-",,,,,,
06:10-06:40,,Post-sleep,,,,,
,"2, FE-5",,,,,,
06:10-06:20,FE-6,Morning Inspection,,,,,
06:20-06:25,FE-3,HRF - MELFI Sample Insertion,,,,,
06:20-06:40,FE-6,Post-sleep,,,,,
06:25-06:35,FE-3,Morning Inspection,,,,,
06:35-07:00,FE-3,Post-sleep,,,,,
06:40-07:30,"CDR, FE-1",BREAKFAST,,,,,
06:40-07:30,FE-2,BREAKFAST. SM ПСС (Caution & Warning Panel) Test,,,,,
06:40-07:30,FE-5,BREAKFAST,,,,,
06:40-07:20,FE-6,BREAKFAST,,,,,
07:00-07:30,FE-3,BREAKFAST,,,,,
07:20-07:30,FE-6,CRHYT - Deinstrumentation and Cleaning Sensors,,,,,
,,Weekly Housekeeping,,,,,
,,"SM Ventilation Subsystem Preventive Maintenance, Group E",,,,,
07:30-10:30,CDR,FGB ЦВ2 Fan Cleaning,,,,,
,,Inspection of Air Conditioner,,,,,
,,Cleaning Auxiliary Computer System (ВКС) Laptops,,,,,
,,Weekly Housekeeping,,,,,
07:30-10:30,FE-1,БМП (Micropurification Unit) Fan Grille Cleaning,,,,,
,,Cleaning Auxiliary Computer System (ВКС) Laptops,,,,,
,,Weekly Housekeeping,,,,,
07:30-10:00,FE-2,,,,,,
,,Cleaning Auxiliary Computer System (ВКС) Laptops,,,,,
,"FE-3, FE-5, FE-",,,,,,
07:30-10:30,,Weekly Housekeeping,,,,,
,6,,,,,,
10:00-11:30,FE-2,"БД-2 Exercise, Day 3",,,,,
10:30-10:40,FE-3,CGBA - Checkout and Cleanup,,,,,
10:30-10:35,FE-5,D2XS Battery Charge,,,,,
10:30-12:00,FE-6,ARED Exercise,,,,,
10:35-11:45,FE-5,CEVIS Exercise,,,,,
10:40-11:40,FE-3,EVA - Enhanced Caution and Warning System (ECWS) On-Board Training,,,,,
11:00-12:00,FE-1,"БД-2 Exercise, Day 4",,,,,
12:00-12:15,FE-2,CASKAD. Manual Mixing in Bioreactor,,,,,
12:00-13:30,FE-3,ARED Exercise,,,,,
12:00-13:00,FE-6,"БД2 Exercise, Day 2",,,,,
,"CDR, FE-1, FE-",,,,,,
12:20-13:20,,Video for Roscosmos TV Studio,,,,,
,2,,,,,,
,TIME,,,"CREWCDRFE-1FE-2FE-3FE-5FE-6FE-3FE-5FE-6CDR, FE-1,",,"ACTIVITYMorning Inspection. Laptop RS1(2) RebootMorning Inspection. Laptop RSS2 Reboot / r/g 1009, step 1Morning Inspection. SM ПСС (Caution & Warning Panel) TestReading REMINDERARED Exercise Photography ReminderReading REMINDERHRF - Sample Collection and Prep for StowageMorning InspectionReading REMINDER",
,06:00-06:10,,,,,,
,06:00-06:10,,,,,,
,06:00-06:10,,,,,,
,06:00-06:05,,,,,,
,06:00-06:05,,,,,,
,06:00-06:05,,,,,,
,06:05-06:20,,,,,,
,06:05-06:15,,,,,,
,06:05-06:10,,,,,,
,,,,,,,
,06:10-06:40,,Post-sleep,,,,
,,,"FE-2FE-6FE-5FE-3FE-6FE-3FE-3CDR, FE-1,",,,,
,,Morning InspectionPost-sleepHRF - MELFI Sample Retrieval/InsertionPost-sleepMorning InspectionPost-sleep,,,,,
,06:10-06:20,,,,,,
,06:15-06:45,,,,,,
,06:20-06:25,,,,,,
,06:20-06:45,,,,,,
,06:25-06:35,,,,,,
,06:35-07:00,,,,,,
,,,,,,,
,06:40-07:30,,BREAKFAST,,,,
,,,"FE-2FE-5, FE-6FE-3CDR, FE-1,",,,,
,,BREAKFASTBREAKFAST,,,,,
,06:45-07:30,,,,,,
,07:00-07:30,,,,,,
,,,,,,,
,07:30-07:55,,Daily Planning Conference (S-band),,,,
,,,"FE-2CDR, FE-1,",,,,
,,ISS crew and ГОГУ (RSA Flight Control Management Team) weeklyconference (S-band)CREW OFF-DUTY,,,,,
,,,,,,,
,07:55-08:10,,,,,,
,,,"FE-2FE-5CDR, FE-1,",,,,
,,,,,,,
,08:00-11:20,,,,,,
,,,,,,,
,08:10-08:25,,IMS Tagup (S-band),,,,
,FE-2CDRFE-1FE-2FE-3FE-6FE-1CDRCDRFE-2FE-2FE-2,,,,,,
,,Work PrepWork PrepWork PrepCEVIS ExerciseARED ExerciseCARDIOVECTOR. Experiment Ops. Tagup with specialistsVozdukh DeactivationСОЖ MaintenanceCASKAD. Manual Mixing in BioreactorCARDIOVECTOR. Photography of the Experiment OpsISS Crew Medical Officer (CMO) Computer Based Training (CBT),,,,,
,08:25-08:35,,,,,,
,08:25-08:30,,,,,,
,08:25-08:55,,,,,,
,08:25-09:25,,,,,,
,08:25-09:55,,,,,,
,08:30-09:35,,,,,,
,08:35-08:45,,,,,,
,08:45-09:25,,,,,,
,08:55-09:10,,,,,,
,09:10-09:20,,,,,,
,09:25-09:50,,,,,,
TIME,CREW,ACTIVITY,,,,,
06:00-06:10,CDR,Morning Inspection. Laptop RS1(2) reboot,,,,,
06:00-06:10,FE-1,Morning Inspection. Laptop RSS2 reboot,,,,,
06:00-06:10,"FE-2, FE-3",Morning Inspection,,,,,
06:00-06:05,FE-5,PROK- urine sampling,,,,,
06:00-06:05,FE-6,REMINDER- read reminder,,,,,
06:05-06:10,FE-5,REMINDER- read reminder,,,,,
06:05-06:15,FE-6,Morning Inspection,,,,,
,"CDR, FE-1,",,,,,,
06:10-06:40,,Post-sleep,,,,,
,"FE-2, FE-3",,,,,,
06:10-06:30,FE-5,HRF- urine sampling,,,,,
06:15-06:40,FE-6,Post-sleep,,,,,
06:30-06:35,FE-5,HRF - placement of samples into MELFI,,,,,
06:35-06:45,FE-5,Morning Inspection,,,,,
06:40-07:30,CDR,Breakfast,,,,,
,"FE-1, FE-3,",,,,,,
06:40-07:30,,Breakfast,,,,,
,FE-6,,,,,,
06:40-07:30,FE-2,Breakfast. Testing ПСС СМ,,,,,
06:45-07:15,FE-5,Post-sleep,,,,,
07:15-08:05,FE-5,Breakfast,,,,,
09:00-10:30,FE-3,ARED exercise,,,,,
10:00-11:30,FE-2,БД-2 -1 exercise,,,,,
10:05-10:25,FE-5,HRF- urine sampling,,,,,
10:25-10:30,FE-5,HRF - placement of samples into MELFI,,,,,
10:30-10:45,FE-1,Private family conference (Ku+S-band),,,,,
10:30-11:50,FE-5,ARED exercise,,,,,
11:00-12:00,FE-6,T2 exercise,,,,,
