0,1,2,3,4,5,6
GMT,CREW,ACTIVITY,,,,
06:00-06:10,,Morning Inspection,,,,
06:10-06:20,FE-1,Calf Volume Measurement,,,,
06:10-06:30,FE-2,Post-sleep,,,,
06:10-06:20,CDR,Post-sleep,,,,
06:20-06:30,CDR,Calf volume measurement,,,,
06:20-06:40,FE-1,Post-sleep,,,,
06:30-06:40,CDR,Post-sleep,,,,
06:30-06:40,FE-2,Calf Volume Measurement,,,,
06:40-07:30,,BREAKFAST,,,,
07:30-07:50,"FE-1, FE-2",Prep for Work,,,,
07:30-07:45,CDR,БМП Ф2 Absorption Cartridge Regeneration (start),,,,
07:45-07:50,CDR,Prep for Work,,,,
07:50-08:05,,Daily Planning Conference (S-band),,,,
08:05-08:30,CDR,Prep for Work,,,,
08:05-08:15,"FE-1, FE-2",Prep for Work,,,,
08:15-08:20,FE-1,EXPERT. Terminate Kelvin-Video Battery Charge,,,,
08:15-08:20,FE-2,Scheduled inspection of RED,,,,
08:20-09:50,FE-2,Physical Exercise (RED),,,,
08:20-08:25,FE-1,EXPERT. Terminate Kelvin-Video Battery Charge,,,,
08:30-08:40,CDR,NOA1. Hardware setup and activation,,,,
09:10-09:20,CDR,NOA1. CDR Measurements,,,,
09:20-09:45,FE-1,NOA1. Measurements and close out ops,,,,
09:25-09:55,CDR,Crew Medical Officer (CMO) Proficiency Training,,,,
09:50-09:55,FE-1,EXPERT. Terminate ТТМ-2 Charging,,,,
09:50-10:50,FE-2,Physical Exercise (CEVIS),,,,
09:55-12:25,FE-1,EXPERT. Experiment ops,,,,
09:55-11:25,CDR,"Physical Exercise (RED), day 1",,,,
10:50-11:30,FE-2,Rack/Corridor Preparation,,,,
11:25-12:05,CDR,Hardware Pre-pack for Return on Shuttle flight ULF2,,,,
11:30-11:50,FE-2,ТЕРС transfer,,,,
12:15-12:25,FE-2,Utility DC to DC Converter Unit (UDC) Output and MicrogravityMeasurement Apparatus (MMA) Off,,,,
12:25-13:05,,Kazbek Fit Check,,,,
13:05-14:05,,LUNCH,,,,
14:05-14:15,FE-2,Flow Meter Relocate,,,,
14:10-14:25,CDR,Private Medical Conference (Ku + S-band),,,,
14:15-15:35,FE-2,Node 1 Rack Flow Control Assembly (RFCA) Flowmeter Test,,,,
14:25-14:40,FE-1,Private Medical Conference (Ku + S-band),,,,
14:25-15:15,CDR,Replacement of БРПК separator. Install # 701019 b/c 00047119R(ФГБ1ПГО_4_415_1 bag 365-13 b/c 00047396R) Stow the removedunit for disposal.,,,,
14:40-15:40,FE-1,Crew Departure Prep,,,,
15:15-16:05,CDR,Transfer of US condensate from  CWC to EDV and monitor transfer time,,,,
GMT,CREW,ACTIVITY,,,,
06:00-06:10,.,Morning Inspection,,,,
06:10-06:40,.,Post-sleep,,,,
06:40-07:30,.,BREAKFAST,,,,
07:30-07:50,FE-2,Nutrition and Repository - urine sampling,,,,
07:50-08:00,FE-2,Nutrition and Repository - insertion of first urine samples into MELFI,,,,
09:00-10:30,CDR,"Physical Exercise (TVIS), day 3",,,,
09:50-10:10,FE-2,Nutrition and Repository - urine sampling,,,,
10:10-10:15,FE-2,Nutrition and Repository - urine sample MELFI insertion,,,,
10:15-10:30,FE-2,Set up video equipment to record TVIS exercise,,,,
10:30-12:00,FE-2,Physical Exercise (RED),,,,
10:30-12:00,FE-1,"Physical Exercise (TVIS), day 3",,,,
12:00-13:00,FE-2,Physical Exercise (TVIS),,,,
13:00-14:00,.,LUNCH,,,,
14:00-14:15,FE-2,Stow video equipment used to record TVIS exercise,,,,
14:15-14:25,FE-2,FMK deployment ops,,,,
14:25-14:45,FE-2,Nutrition and Repository - urine sampling,,,,
14:45-14:50,FE-2,Nutrition and Repository - urine sample MELFI insertion,,,,
15:00-15:15,FE-2,Private Family Conference (S + Ku-band),,,,
15:15-18:15,FE-2,Weekly Housekeeping,,,,
15:35-16:35,FE-1,"Physical Exercise (TVIS), day 3",,,,
16:35-17:35,CDR,"Physical Exercise (TVIS), day 3",,,,
17:35-18:15,CDR,"СОЖ Maintenance. СВО, СП flush counter, and POTOK AirPurification System Data Downlink",,,,
18:10-18:15,FE-1,ГФИ-1 [Geophysical Studies]. Start SONY DCR-TRV900E BatteryCharge,,,,
18:15-18:30,FE-2,Private Psychological Conference (S +Ku-band),,,,
