0,1,2,3,4
GMT,,CREW,ACTIVITY,
06:00-06:10,,"CDR, FE-1,FE-4",Morning Inspection,
06:00-06:05,,FE-6,Integrated Immune Liquid Saliva Sample Collection,
06:00-06:05,,FE-3,Integrated Immune Liquid Saliva Sample Collection,
06:00-06:05,,FE-5,Integrated Immune Liquid Saliva Sample Collection,
06:05-06:10,,FE-3,Reaction Self-test,
06:05-06:10,,FE-5,Reaction Self-test,
06:05-06:10,,FE-6,Reaction Self-test,
06:10-06:40,,,Post-sleep,
06:40-07:30,,"CDR, FE-1,FE-4",BREAKFAST,
07:30-07:35,,FE-5,AORG Photography in Columbus prior to Housekeeping,
07:30-10:30,,"FE-3, FE-6",Weekly Housekeeping,
07:35-10:35,,FE-5,Weekly Housekeeping,
09:00-09:15,,FE-4,PLANTS-2. Watering,
09:05-10:00,,"CDR, FE-1(assists)",LBNP Exercise (PRELIMINARY). Tagup with specialists (VHF),
09:30-10:20,,FE-4,RADIO LINK DATA TRANSMISSION (РСПИ). Data Prep for Downlink viaРСПИ. Tagup with specialists (S-band),
10:30-10:35,,FE-3,Compound Specific Analyzer- Combustion Products (CSA-CP) О2 Readings,
10:35-10:40,,FE-5,AORG Photography in Columbus after cleaning,
10:40-10:45,,FE-5,Window Shutter Open,
10:40-11:35,,"FE-1, CDR(assists)",LBNP Exercise (PRELIMINARY). Tagup with specialists (VHF),
10:45-10:55,,FE-6,CIR Alignment Guide Installation,
11:40-12:10,,,Weekly Planning Conference (S-band),
12:10-13:10,,FE-4,"Physical Exercise (VELO), Day 1",
12:10-13:40,,FE-5,Physical Exercise (ARED),
12:10-13:10,,FE-6,Physical Exercise (T2),
12:30-12:45,,"CDR, FE-3",SM ПСС [Caution & Warning Panel] Test. Tagup with specialists (S-band),
13:40-14:40,,,LUNCH,
14:40-14:50,,"FE-5 ,FE-6",Food Frequency Questionnaire,
14:40-15:20,,FE-4,СОЖ Maintenance,
14:40-14:45,,FE-1,On MCC Go ISS О2 repress from Progress 410 СрПК (start),
14:50-15:00,,FE-6,Glacier 2. Desiccant Pack Insert,
14:55-15:10,,FE-3,Private Medical Conference,
15:00-16:30,,CDR,Physical Exercise (ARED),
15:30-16:30,,FE-3,Physical Exercise (T2),
15:40-15:45,,FE-1,ISS О2 repress from Progress 410 СрПК (terminate),
16:00-17:30,,FE-4,"Physical Exercise (TVIS), Day 1",
16:30-18:00,,FE-3,Physical Exercise (ARED),
GMT,CREW,ACTIVITY,,
06:00-06:05,CDR,BCAT Battery Replacement,,
06:00-06:10,"FE-4, FE-5",Morning Inspection,,
06:05-06:10,CDR,Morning Inspection,,
06:10-06:40,,Post-sleep,,
06:40-07:30,"CDR, FE-5",BREAKFAST,,
06:40-07:30,FE-4,BREAKFAST SM ПСС [Caution & Warning Panel] Test (After breakfast),,
07:30-10:30,"CDR, FE-5",Weekly Housekeeping,,
07:50-08:20,FE-4,LCS (Laser Communication System). Copying data from RSE-LCS laptop toRSS2 and data downlink. Tagup with specialists as necessary (S-band),,
08:20-08:35,FE-4,PLANTS-2. Watering,,
08:35-11:05,FE-4,"Weekly HousekeepingSM Ventilation Subsystem Preventive Maintenance, Group EFGB ЦВ2 Fan Cleaning",,
10:30-11:30,CDR,Physical Exercise T2,,
10:30-10:40,FE-5,Station Support Computer (SSC) Server Vent Cleaning,,
11:05-12:35,FE-4,"Physical Exercise (TVIS), Day 3",,
11:45-11:50,CDR,MPC Power Up,,
11:50-12:00,CDR,CIR Alignment Guide Installation,,
12:35-13:05,,Weekly Planning Conference (S-band),,
13:05-14:05,,LUNCH,,
14:05-14:15,CDR,BCAT5 Camera Checkout,,
14:05-14:20,FE-4,Private Family Conference (Ku + S-band),,
14:20-14:35,FE-5,JAXA Report 10,,
15:10-15:20,FE-4,PAO Hardware Setup,,
15:20-15:35,,Crew Prep For PAO,,
15:35-15:45,"CDR, FE-5",Best wishes to the Graduates of Military Schools under the Ministry ofDefense (Ku-band),,
15:35-15:55,FE-4,TV Greetings to the Graduates of Institutions of Higher Learning under theMinistry of Defense.  TV Greetings to the Participants of the XXII Assemblyof the International Black Sea Club (Ku-band),,
15:45-17:15,CDR,Physical Exercise (ARED),,
15:55-16:05,FE-4,PAO Hardware Deactivation,,
17:00-18:00,FE-4,"Physical Exercise (VELO), Day  3",,
17:00-18:00,FE-5,Physical Exercise T2,,
17:15-17:20,CDR,CEVIS Seat Adjustment,,
17:20-17:25,CDR,MSL Lab Camera Setup,,
17:25-18:55,CDR,MSL-SCA Sample Exchange,,
18:00-19:30,FE-5,Physical Exercise (ARED),,
18:00-18:30,FE-4,Weekly HousekeepingCleaning Potok-150МК Air Purification System Pre-filters in SM and FGB,,
18:30-19:10,FE-4,СОЖ Maintenance,,
GMT,,CREW,,ACTIVITY
06:00-06:10,,"CDR, FE-5",,Morning Inspection
06:00-06:10,,FE-4,,Morning Inspection. SM ПСС [Caution & Warning Panel] Test
06:10-06:40,,,,Post-sleep
06:40-07:30,,,,BREAKFAST
07:30-08:00,,,,Work Prep
08:00-08:05,,CDR,,BCAT Nikon D2Xs Battery Changeout
08:05-08:10,,CDR,,ISSAC Window Shutter Close
08:10-08:25,,,,Daily Planning Conference (S-band)
08:25-08:40,,,,ISS Crew and ГОГУ (RSA Flight Control Team Management) WeeklyConference (S-band)
08:50-09:35,,FE-5,,INK BALL. Experiment 2 Setup
09:35-10:15,,FE-5,,INK BALL. Experiment 2
09:40-09:50,,FE-4,,RUSALKA. Battery charge (start)
09:50-10:05,,FE-4,,PLANTS-2. Watering
09:55-10:25,,CDR,,Crew Medical Officer (CMO) Proficiency Training
10:15-10:35,,FE-5,,INK BALL. Closeout Ops
10:30-11:10,,CDR,,Possum P/L Photography
10:35-10:40,,FE-5,,INK BALL. Experiment 2 Start Downlink
10:35-10:50,,FE-4,,IMS Tagup (S-band)
10:40-12:10,,FE-5,,Periodic Fitness Evaluation - Nom Ops (subject)
10:50-11:30,,FE-4,,СОЖ Maintenance
,,,,"You may empty 3 EDV-U (lids 840 п.34, 872 п.35, 999) to Progress 410 БВ-"
,,,,2 Tank
11:15-11:45,,CDR,,Periodic Fitness Evaluation - Nom Ops (assistance)
11:30-13:00,,FE-4,,"Physical Exercise (TVIS), Day 1"
11:50-12:00,,CDR,,CIR Alignment Guide Removal
12:10-12:15,,FE-5,,BP/ECG Data Transfer from МЕС to SSC
12:15-12:30,,FE-5,,Lego Bricks Maintenance Work Area Preparation
12:30-13:00,,FE-5,,Lego Maintenance Work Area Containment System Setup
12:35-12:45,,CDR,,BCAT5 Camera Checkout
