0,1,2,3,4,5,6,7
TIME,CREW,ACTIVITY,,,,,
06:00-06:05,CDR Reminder to the crew members about relevant restrictions on “Skin B” experiment,,,,,,
06:00-06:05,FE-1 Acoustic Dosimeter Reminder,,,,,,
06:00-06:10,FE-2 Morning Inspection. Laptop RSS2 Reboot,,,,,,
,Morning Inspection. Visual Inspection of Circuit Breaker (АЗС) Position on,,,,,,
06:00-06:10,"FE-4 DC1 Power Switch Panel (БВП) and Fuses on DC Fuse Boxes БПП-30,",,,,,,
,36 per LED indication,,,,,,
06:00-06:05,"FE-5, FE-6 IVA - Reading Routine Clothes Reminder",,,,,,
06:05-06:15,CDR Morning Inspection,,,,,,
,Morning Inspection. Laptop RS1(2) Reboot,,,,,,
06:05-06:15,FE-1 Inspection of СМ-У connector on МНР-НС separator pump behind АСУ,,,,,,
,panel 139,,,,,,
06:05-06:10,"FE-5, FE-6 IVA - Reading Exercise Clothes Reminder",,,,,,
06:10-06:40,"FE-2, FE-4 Post-sleep",,,,,,
06:10-06:15,FE-5 Reading Acoustic Dosimeter Reminder,,,,,,
06:10-06:20,FE-6 Morning Inspection,,,,,,
06:15-06:40,"CDR, FE-1 Post-sleep",,,,,,
06:15-06:25,FE-5 Morning Inspection,,,,,,
06:20-06:45,FE-6 Post-sleep,,,,,,
06:25-06:50,FE-5 Post-sleep,,,,,,
06:40-07:30,"CDR, FE-1, FE-2 BREAKFAST",,,,,,
06:40-07:30,FE-4 BREAKFAST. SM ПСС (Caution & Warning Panel) Test,,,,,,
06:45-07:30,FE-6 BREAKFAST,,,,,,
06:50-07:30,FE-5 BREAKFAST,,,,,,
07:30-07:50,FE-5 Acoustic Dosimeter Setup,,,,,,
08:45-10:15,FE-4 ARED Exercise,,,,,,
09:10-10:10,FE-6 T2 Exercise,,,,,,
10:00-11:10,FE-5 CEVIS Exercise,,,,,,
10:10-10:15,FE-6 IVA - Questionnaire,,,,,,
,Collecting condensate water samples from СРВ-К2М upstream of Gas-,,,,,,
10:15-10:45,FE-2 Liquid Mixture Filter (ФГС) to Russian Samplers – start,,,,,,
10:15-11:45,FE-6 ARED Exercise,,,,,,
10:45-11:30,"FE-2 БД-2 Exercise, Day 4",,,,,,
11:10-11:15,FE-5 IVA - Questionnaire,,,,,,
11:30-11:45,FE-2 Exercise Data Downlink,,,,,,
TIME,CREW,ACTIVITY,,,,,
06:00-06:05,CDR,IVA - Reading Exercise Clothes Reminder,,,,,
06:00-06:05,FE-5,Camcorder Setup to View LAB Remote Workstation (RWS) Monitor 3,,,,,
06:00-06:05,FE-6,Reading Reminder,,,,,
06:05-06:10,CDR,IVA - Reading Routine Clothes Reminder,,,,,
06:05-06:10,FE-5,PROK - Urine Sample Collection,,,,,
06:05-06:15,FE-6,Morning Inspection,,,,,
,,Morning Inspection.,,,,,
06:10-06:20,CDR,"Laptop RS1(2) Reboot  Laptop RSS2 Reboot / r/g 1009, step 1",,,,,
,,SM ПСС (Caution & Warning Panel) Test,,,,,
06:10-06:30,FE-5,HRF Urine Sample Collection,,,,,
06:15-06:40,FE-6,Post-sleep,,,,,
06:20-06:45,CDR,Post-sleep,,,,,
06:30-06:35,FE-5,HRF - Urine Sample MELFI Insertion,,,,,
06:35-06:45,FE-5,Morning Inspection,,,,,
06:40-07:20,FE-6,BREAKFAST,,,,,
06:45-07:20,CDR,BREAKFAST,,,,,
06:45-07:15,FE-5,Post-sleep,,,,,
07:15-07:20,FE-5,BREAKFAST,,,,,
07:20-07:35,,Daily Planning Conference (S-band),,,,,
07:35-07:45,,BREAKFAST,,,,,
07:45-08:00,,ISS crew and ГОГУ (RSA Flight Control Management Team) weekly conference (S-band),,,,,
08:00-08:15,CDR,IMS Tagup (S-band),,,,,
08:00-08:30,FE-5,BREAKFAST,,,,,
08:00-08:30,FE-6,Work Prep,,,,,
08:15-08:30,CDR,Work Prep,,,,,
08:30-09:00,FE-5,USND2 - Setup and Hardware Activation,,,,,
09:00-10:00,CDR,PAYLOAD SERVER (БСПН). Reconnecting БКС network. Tagup with specialists,,,,,
09:00-09:15,FE-6,WRS - Recycle Tank Fill from EDV,,,,,
